Protein Group Name,Representative Protein Description,Total Amino Acids,Sequence Coverage (%),Sequence Coverage Unshared only (%),Sequence Redundancy (%),Numbers of Proteins,# of PSMs,# of Unique Peptides,# Shared Peptides,# PSMs in Experiment,# Unique Seq in Experiment,# Shared Peptides in Experiment,P-Score,# Quantified PSMs,# Quantified Peptides,WT_0Min_(TMT 126C PCN),WT_0Min_(TMT 127N PCN),_Env_0Min_(TMT 127C PCN),_Env_0Min_(TMT 128N PCN),WT_5Min_(TMT 128C PCN),WT_5Min_(TMT 129N PCN),_Env_5Min_(TMT 129C PCN),_Env_5Min_(TMT 130N PCN),_Genome_5Min_(TMT 130C PCN),_Genome_5Min_(TMT 131N PCN),Uniprot IDs,Gene Names
PG251707,sp|Q9BZG8|DPH1_HUMAN 2-(3-amino-3-carboxypropyl)histidine synthase subunit 1 OS=Homo sapiens GN=DPH1 PE=1 SV=2,443,11.96,11.96,0,4,9,4,0,1,1,0,3.97E-53,1,1,27587.72544,26177.69969,24147.15015,25948.43281,23599.22005,26763.69703,22727.97146,21955.86897,23246.29148,23996.18545,Q9BZG8|Q9BZG8-2|Q9BZG8-3|I3L1H5,DPH1
PG267412,tr|A0A0C4DGB9|A0A0C4DGB9_HUMAN Inorganic pyrophosphatase 2; mitochondrial OS=Homo sapiens GN=PPA2 PE=1 SV=1,63,53.97,14.29,12.7,1,13,4,2,2,2,1,5.48E-53,1,1,6424.259414,7398.588815,18228.7201,17480.42948,16765.03871,16411.22271,16538.03949,13796.91632,17754.33248,13025.28702,A0A0C4DGB9,PPA2
PG249506,tr|A0A0B4J1R7|A0A0B4J1R7_HUMAN BORCS7-ASMT readthrough (NMD candidate) OS=Homo sapiens GN=BORCS7-ASMT PE=4 SV=1,106,53.77,53.77,0,2,9,4,0,1,1,0,6.65E-53,1,1,6098.422014,6300.356002,4710.993037,5396.726442,6231.441012,5887.993687,5412.658118,5983.73256,6952.250312,6928.720776,Q96B45|A0A0B4J1R7,BORCS7|BORCS7-ASMT
PG243673,sp|Q7L1V2|MON1B_HUMAN Vacuolar fusion protein MON1 homolog B OS=Homo sapiens GN=MON1B PE=1 SV=1,547,11.15,11.15,4.022,1,16,4,0,1,1,0,1.02E-52,1,1,30279.96152,29875.02348,27393.4262,30128.386,24609.35107,26398.98775,25338.89057,26673.95222,25507.80683,27674.98544,Q7L1V2,MON1B
PG242779,sp|Q9BXK1|KLF16_HUMAN Krueppel-like factor 16 OS=Homo sapiens GN=KLF16 PE=1 SV=1,252,37.3,37.3,0,1,4,4,0,1,1,0,1.06E-52,1,1,7969.903636,9626.367043,9817.889202,13435.87418,12281.70825,10782.29321,9577.598117,11032.86634,9780.709373,11644.38642,Q9BXK1,KLF16
PG246464,sp|Q14188-8|TFDP2_HUMAN Isoform 8 of Transcription factor Dp-2 OS=Homo sapiens GN=TFDP2,418,9.33,3.11,2.632,1,9,4,3,2,2,1,1.13E-52,1,1,7145.246556,8289.133886,6714.516047,6211.697656,7594.192061,8345.003075,8190.733705,9877.508641,6179.738707,7117.996484,Q14188-8,TFDP2
PG242511,sp|Q8NBZ0|IN80E_HUMAN INO80 complex subunit E OS=Homo sapiens GN=INO80E PE=1 SV=1,244,23.36,23.36,0,1,16,4,0,1,1,0,2.17E-52,1,1,11218.39889,9598.584582,9975.265041,9615.643285,10660.21668,11214.46946,10119.6676,10995.98765,12260.28725,10420.96638,Q8NBZ0,INO80E
PG253512,sp|Q96L50|LLR1_HUMAN Leucine-rich repeat protein 1 OS=Homo sapiens GN=LRR1 PE=1 SV=2,414,8.937,8.937,0,1,8,4,0,1,1,0,2.67E-52,1,1,26447.75314,25832.11645,21339.29728,26176.43335,27135.82777,24426.39154,25282.89519,28316.44228,27068.81695,27062.29954,Q96L50,LRR1
PG253086,sp|Q6IC98|GRAM4_HUMAN GRAM domain-containing protein 4 OS=Homo sapiens GN=GRAMD4 PE=1 SV=1,578,9.343,9.343,0,1,4,4,0,1,1,0,8.04E-52,1,1,7494.618044,5079.280312,5100.270096,5900.556977,6695.209684,6423.709018,7545.371214,5430.665214,7407.936429,5622.274746,Q6IC98,GRAMD4
PG253025,sp|Q8NEC7|GSTCD_HUMAN Glutathione S-transferase C-terminal domain-containing protein OS=Homo sapiens GN=GSTCD PE=1 SV=2,633,7.267,7.267,0,1,5,4,0,1,1,0,8.63E-52,1,1,13123.39528,13589.83098,13856.64018,12776.4527,11937.67283,13140.36212,13710.74586,11823.45135,16038.64392,14201.07331,Q8NEC7,GSTCD
PG248559,sp|Q8N6S5|AR6P6_HUMAN ADP-ribosylation factor-like protein 6-interacting protein 6 OS=Homo sapiens GN=ARL6IP6 PE=1 SV=1,226,17.7,17.7,4.425,1,36,4,0,1,1,0,9.49E-52,1,1,10543.04636,11564.82667,8563.811052,12061.36747,11969.04576,16235.707,10520.34611,12908.29939,10156.75772,11142.73774,Q8N6S5,ARL6IP6
PG247972,sp|O15254|ACOX3_HUMAN Peroxisomal acyl-coenzyme A oxidase 3 OS=Homo sapiens GN=ACOX3 PE=1 SV=2,700,7.143,7.143,0,2,8,4,0,1,1,0,1.42E-51,1,1,10337.40346,8463.939569,9229.981758,7471.716047,7092.47125,8909.591254,7475.750856,8238.106546,7894.963367,8140.649342,O15254|O15254-2,ACOX3
PG243081,sp|P11279|LAMP1_HUMAN Lysosome-associated membrane glycoprotein 1 OS=Homo sapiens GN=LAMP1 PE=1 SV=3,417,8.633,8.633,0,1,14,4,0,1,1,0,1.82E-51,1,1,32947.62362,35960.16854,39102.52523,31215.66737,29338.12376,30896.83107,32077.30654,31854.88806,30136.24385,30149.0141,P11279,LAMP1
PG256624,sp|Q8TAA9|VANG1_HUMAN Vang-like protein 1 OS=Homo sapiens GN=VANGL1 PE=1 SV=1,524,6.107,6.107,3.244,2,8,3,0,1,1,0,2.03E-51,1,1,2785.200921,3783.565772,3540.912139,4024.975393,3391.890389,3636.541921,4458.466025,4058.03423,3551.098122,3512.250358,Q8TAA9|Q8TAA9-2,VANGL1
PG252966,sp|Q9Y692|GMEB1_HUMAN Glucocorticoid modulatory element-binding protein 1 OS=Homo sapiens GN=GMEB1 PE=1 SV=2,573,9.25,7.504,0,2,11,4,1,2,2,1,3.09E-51,1,1,26642.54239,26798.23385,24902.80591,26291.51231,21167.97772,25647.91173,21938.99008,22815.95329,22277.92463,22756.11261,Q9Y692|Q9Y692-2,GMEB1
PG247741,sp|Q9H9H4|VP37B_HUMAN Vacuolar protein sorting-associated protein 37B OS=Homo sapiens GN=VPS37B PE=1 SV=1,285,15.79,15.79,0,1,5,4,0,1,1,0,3.93E-51,1,1,1545.224151,2201.767541,2248.55664,2255.888807,1730.009798,1991.014259,1756.323622,1840.846779,1711.878088,2602.754288,Q9H9H4,VPS37B
PG269259,tr|H3BU53|H3BU53_HUMAN MAX gene-associated protein (Fragment) OS=Homo sapiens GN=MGA PE=1 SV=1,1174,4.94,1.448,0,1,7,4,3,1,1,0,4.49E-51,1,1,5564.747703,4678.086318,4511.922982,4543.001534,6240.741078,5459.355817,4864.138095,5789.275599,6127.95303,6356.661591,H3BU53,MGA
PG253022,tr|H0YKM0|H0YKM0_HUMAN RAS guanyl-releasing protein 1 OS=Homo sapiens GN=RASGRP1 PE=1 SV=1,848,9.552,9.552,0,4,5,4,0,1,1,0,6.21E-51,1,1,10270.48468,10826.72261,9392.158957,9452.858366,9073.850482,11071.14129,8555.394675,8972.792752,10190.06954,10144.73272,O95267|H0YKM0|F5H514|H0YMF3,RASGRP1
PG244693,sp|P20742|PZP_HUMAN Pregnancy zone protein OS=Homo sapiens GN=PZP PE=1 SV=4,1482,2.294,0.8097,0,1,13,3,2,5,3,2,9.24E-51,1,1,912.4789793,612.3526863,655.1132756,767.654516,4177.288148,4283.806637,4738.884315,7986.112873,5267.249342,5014.947894,P20742,PZP
PG245036,sp|P11234-2|RALB_HUMAN Isoform 2 of Ras-related protein Ral-B OS=Homo sapiens GN=RALB,228,17.11,7.018,3.07,3,10,4,3,3,3,2,1.27E-50,1,1,8020.205438,8275.977269,7172.814915,6520.243897,8324.579054,9331.262282,8402.249846,10360.40027,8816.528499,8481.56594,P11234|P11234-2|P11234-3,RALB
PG256472,sp|Q08AE8|SPIR1_HUMAN Protein spire homolog 1 OS=Homo sapiens GN=SPIRE1 PE=1 SV=3,756,6.746,6.746,0,2,10,5,0,1,1,0,1.34E-50,1,1,8646.518147,9751.378813,8601.773538,9690.619852,8191.038722,10028.70731,7362.332611,8412.886573,9088.43053,8433.912453,Q08AE8|Q08AE8-2,SPIRE1
PG244112,sp|Q9NX14-2|NDUBB_HUMAN Isoform 2 of NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11; mitochondrial OS=Homo sapiens GN=NDUFB11,163,31.29,31.29,0,2,11,3,0,1,1,0,3.63E-50,1,1,9896.847246,8180.854127,7468.433569,8132.246096,7055.484079,8152.820871,7477.50264,7275.901999,7794.508016,7624.72536,Q9NX14|Q9NX14-2,NDUFB11
PG249139,sp|Q9H3F6|BACD3_HUMAN BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3 OS=Homo sapiens GN=KCTD10 PE=1 SV=1,313,12.14,6.709,0,3,8,4,2,1,1,0,3.87E-50,1,1,18605.88181,19192.88358,17443.02567,14899.00566,13493.81784,18692.34366,16206.68049,22123.43594,14356.95085,16120.66602,Q9H3F6|Q9H3F6-2|F5GWA4,KCTD10
PG247236,sp|O14773|TPP1_HUMAN Tripeptidyl-peptidase 1 OS=Homo sapiens GN=TPP1 PE=1 SV=2,563,8.171,8.171,0,2,10,3,0,1,1,0,4.36E-50,1,1,12074.32336,9671.743801,10418.21428,7951.01563,9312.962023,9504.531322,9300.076958,11529.33758,11642.10601,11030.50185,O14773|O14773-2,TPP1
PG242557,sp|Q75QN2|INT8_HUMAN Integrator complex subunit 8 OS=Homo sapiens GN=INTS8 PE=1 SV=1,995,4.523,3.92,0,2,7,5,1,1,1,0,4.42E-50,1,1,29308.3317,35683.79473,34276.40364,34971.85828,33960.21727,28294.39856,31045.80371,30951.53814,35201.04436,31634.53263,Q75QN2|Q75QN2-2,INTS8
PG252126,sp|Q6PCB8|EMB_HUMAN Embigin OS=Homo sapiens GN=EMB PE=1 SV=1,327,10.7,10.7,8.563,3,6,4,0,2,2,0,6.56E-50,1,1,12085.33449,10038.79801,9944.90727,11668.60851,10917.62862,11742.54205,10562.723,11098.90715,10616.36762,10580.26439,Q6PCB8|Q6PCB8-2|D6RDX7,EMB
PG248828,sp|Q7Z2E3|APTX_HUMAN Aprataxin OS=Homo sapiens GN=APTX PE=1 SV=2,356,8.708,8.708,2.528,9,16,4,0,1,1,0,7.27E-50,1,1,6391.526108,5111.647879,5248.677737,5915.908003,5824.365658,4949.419574,5538.226573,6594.642179,5767.244664,4741.451424,Q7Z2E3|Q7Z2E3-5|Q7Z2E3-7|Q7Z2E3-8|Q7Z2E3-9|Q7Z2E3-10|Q7Z2E3-11|C9JZ40|A0A0A0MRW7,APTX
PG245833,sp|O43295|SRGP3_HUMAN SLIT-ROBO Rho GTPase-activating protein 3 OS=Homo sapiens GN=SRGAP3 PE=1 SV=3,1099,4.641,4.641,0,2,11,4,0,1,1,0,7.44E-50,1,1,6511.464097,5679.464346,5230.727489,5871.502291,9630.887171,8200.910449,8003.829162,6141.080031,7005.734945,7466.237266,O43295|O43295-2,SRGAP3
PG252542,sp|Q8NFG4|FLCN_HUMAN Folliculin OS=Homo sapiens GN=FLCN PE=1 SV=1,579,8.29,8.29,0,1,15,4,0,1,1,0,8.75E-50,1,1,28508.77413,29090.75883,28913.09876,24663.05855,27114.81875,27090.83774,25644.81228,27937.4123,30378.47231,29363.83133,Q8NFG4,FLCN
PG253034,sp|Q9NZD2|GLTP_HUMAN Glycolipid transfer protein OS=Homo sapiens GN=GLTP PE=1 SV=3,209,21.05,21.05,0,2,10,3,0,1,1,0,9.03E-50,1,1,18006.91039,15760.09494,15414.18001,12557.38532,16012.25114,14778.13031,14398.45724,16637.22149,17148.06492,16516.02059,Q9NZD2|F5H0U5,GLTP
PG247454,sp|P49427|UB2R1_HUMAN Ubiquitin-conjugating enzyme E2 R1 OS=Homo sapiens GN=CDC34 PE=1 SV=2,236,16.1,16.1,0,1,7,4,0,1,1,0,1.08E-49,1,1,7653.525627,6927.002487,6301.264797,8112.212497,8787.217196,9998.25062,8543.257757,7336.557329,9546.507413,7486.523593,P49427,CDC34
PG256282,sp|Q9BPZ7|SIN1_HUMAN Target of rapamycin complex 2 subunit MAPKAP1 OS=Homo sapiens GN=MAPKAP1 PE=1 SV=2,522,8.621,8.621,0,3,13,4,0,1,1,0,1.25E-49,1,1,11927.14235,10215.15887,10025.49229,9357.511386,11990.22658,9647.708413,10831.16661,9868.698432,8926.304261,10833.8923,Q9BPZ7|Q9BPZ7-2|Q9BPZ7-3,MAPKAP1
PG253640,sp|Q96HR3|MED30_HUMAN Mediator of RNA polymerase II transcription subunit 30 OS=Homo sapiens GN=MED30 PE=1 SV=1,178,25.84,25.84,0,2,7,4,0,1,1,0,1.46E-49,1,1,21346.35761,19971.42124,19980.48176,20096.22961,18642.53092,19183.23957,19844.8707,21255.66343,19034.94572,18774.35004,Q96HR3|Q96HR3-2,MED30
PG244966,sp|Q9BZE2|PUS3_HUMAN tRNA pseudouridine(38/39) synthase OS=Homo sapiens GN=PUS3 PE=1 SV=3,481,12.68,12.68,0,1,6,5,0,1,1,0,3.02E-49,1,1,3349.895721,3485.717095,5808.09047,4993.559433,4752.721199,6128.397078,4052.771332,4235.880762,5038.838464,4517.972281,Q9BZE2,PUS3
PG254782,sp|Q9UIW2|PLXA1_HUMAN Plexin-A1 OS=Homo sapiens GN=PLXNA1 PE=1 SV=3,1896,2.004,2.004,0,1,10,4,0,1,1,0,3.43E-49,1,1,16719.7489,15766.89459,14036.93687,14777.48815,15499.48947,16406.7706,16010.547,14853.97485,15552.14022,15032.00128,Q9UIW2,PLXNA1
PG247264,sp|Q969E8|TSR2_HUMAN Pre-rRNA-processing protein TSR2 homolog OS=Homo sapiens GN=TSR2 PE=1 SV=1,191,26.18,26.18,0,1,6,3,0,1,1,0,5.74E-49,1,1,12163.52806,10474.06614,9812.974353,10261.17664,11820.81652,11459.82193,10407.0798,10019.63384,9654.387087,10998.73169,Q969E8,TSR2
PG242665,sp|Q9NPH3|IL1AP_HUMAN Interleukin-1 receptor accessory protein OS=Homo sapiens GN=IL1RAP PE=1 SV=2,570,5.965,5.965,2.632,1,5,4,0,1,1,0,6.15E-49,1,1,9155.134162,10020.54462,9542.216932,10165.40447,11688.93711,11333.78081,9423.605263,8845.846073,10086.92122,10101.03908,Q9NPH3,IL1RAP
PG256770,sp|Q16560-2|U1SBP_HUMAN Isoform 2 of U11/U12 small nuclear ribonucleoprotein 35 kDa protein OS=Homo sapiens GN=SNRNP35,251,17.13,17.13,0,2,4,3,0,1,1,0,6.79E-49,1,1,15821.29121,14137.60303,12285.30128,15933.95291,16307.34697,15777.38957,16018.16897,16076.86336,20249.73386,19442.67256,Q16560|Q16560-2,SNRNP35
PG249281,sp|Q9HB09|B2L12_HUMAN Bcl-2-like protein 12 OS=Homo sapiens GN=BCL2L12 PE=1 SV=1,334,9.88,9.88,2.395,3,44,4,0,1,1,0,1.01E-48,1,1,40495.579,37205.07656,38361.44352,33613.31525,37688.71339,37919.3615,39044.88028,37616.83021,38875.29275,38171.17591,Q9HB09|Q9HB09-3|A0A087WSV0,BCL2L12
PG244653,sp|Q8NDF8-5|PAPD5_HUMAN Isoform 5 of Non-canonical poly(A) RNA polymerase PAPD5 OS=Homo sapiens GN=PAPD5,698,7.45,7.45,0,3,5,4,0,1,1,0,1.02E-48,1,1,9809.541717,8766.612085,8556.142731,7928.164214,10046.47734,8190.553779,8926.772063,6417.4008,8646.550653,7100.134363,Q8NDF8|Q8NDF8-5|H3BQM0,PAPD5
PG247397,sp|Q9NV66|TYW1_HUMAN S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase OS=Homo sapiens GN=TYW1 PE=2 SV=2,732,6.694,6.694,0,2,6,4,0,1,1,0,1.14E-48,1,1,3914.863924,2911.476263,3216.904059,3665.434424,5136.65476,5007.122155,4958.573637,3257.377542,3699.639415,5467.495555,Q9NV66|A0A087WUV9,TYW1
PG253759,sp|Q9BQP7|MGME1_HUMAN Mitochondrial genome maintenance exonuclease 1 OS=Homo sapiens GN=MGME1 PE=1 SV=1,344,15.12,15.12,0,2,6,4,0,1,1,0,1.29E-48,1,1,9580.669785,9460.013403,7459.625748,8885.098847,8412.262833,9780.4527,7297.602159,8397.978294,7728.431109,7877.275158,Q9BQP7|Q5QPE7,MGME1
PG242777,tr|K7ERV3|K7ERV3_HUMAN Thymidine kinase OS=Homo sapiens GN=TK1 PE=1 SV=1,267,15.73,15.73,0,2,12,3,0,1,1,0,1.69E-48,1,1,6049.575951,4759.231521,4392.761123,4083.285777,4980.426384,5296.713892,4939.935729,5663.759661,4457.23245,5431.667712,P04183|K7ERV3,TK1
PG252617,sp|Q01415|GALK2_HUMAN N-acetylgalactosamine kinase OS=Homo sapiens GN=GALK2 PE=1 SV=1,458,12.88,12.88,0,3,5,4,0,1,1,0,2.45E-48,1,1,10350.73701,9160.689954,8952.292833,7767.379816,9986.203497,11254.29953,11099.69091,8777.048628,11501.75499,11702.79249,Q01415|Q01415-2|B7ZAX5,GALK2
PG257227,sp|P61129|ZC3H6_HUMAN Zinc finger CCCH domain-containing protein 6 OS=Homo sapiens GN=ZC3H6 PE=1 SV=2,1189,3.869,3.28,0.5046,1,9,4,2,2,2,1,4.06E-48,1,1,6816.534744,9319.909439,6792.937956,7571.61221,7179.574952,8791.607885,8078.753662,8561.537892,9032.224343,7634.33309,P61129,ZC3H6
PG245752,sp|Q8N0X7|SPG20_HUMAN Spartin OS=Homo sapiens GN=SPG20 PE=1 SV=1,666,6.306,5.405,0,1,7,4,1,1,1,0,4.99E-48,1,1,11693.30524,11449.57693,9300.055574,10178.50303,10196.31084,10351.07039,8925.666544,11135.36312,10917.0222,11351.19334,Q8N0X7,SPG20
PG249953,sp|P15812|CD1E_HUMAN T-cell surface glycoprotein CD1e; membrane-associated OS=Homo sapiens GN=CD1E PE=1 SV=2,388,11.08,11.08,0,3,8,3,0,1,1,0,5.54E-48,1,1,10382.38527,11711.60073,10470.61617,10163.31908,9693.375804,9879.874608,8870.127927,9197.182879,7594.68243,9190.01548,P15812|P15812-2|P15812-13,CD1E
PG247086,sp|Q9NS93|TM7S3_HUMAN Transmembrane 7 superfamily member 3 OS=Homo sapiens GN=TM7SF3 PE=2 SV=1,570,7.193,7.193,2.632,1,5,4,0,1,1,0,5.55E-48,1,1,8737.664037,8455.008523,7514.027544,6552.301073,9443.053343,8014.6361,6706.761857,7539.479026,9172.173468,8330.818757,Q9NS93,TM7SF3
PG254377,sp|Q5VVQ6|OTU1_HUMAN Ubiquitin thioesterase OTU1 OS=Homo sapiens GN=YOD1 PE=1 SV=1,348,14.08,14.08,0,2,7,4,0,1,1,0,5.73E-48,1,1,21838.79692,17167.86884,21751.53468,19729.76286,23429.63463,23033.96484,20957.27563,22523.50904,23288.57276,24457.80085,Q5VVQ6|Q5VVQ6-2,YOD1
PG256681,sp|Q9BZV1|UBXN6_HUMAN UBX domain-containing protein 6 OS=Homo sapiens GN=UBXN6 PE=1 SV=1,441,12.02,12.02,0,3,7,3,0,1,1,0,1.10E-47,1,1,8704.879141,9018.654719,8014.582731,7510.067319,7245.38538,7880.494393,7832.727495,7878.211599,8396.342479,9048.020912,Q9BZV1|Q9BZV1-2|K7EP32,UBXN6
PG248215,sp|Q8NFV4|ABHDB_HUMAN Protein ABHD11 OS=Homo sapiens GN=ABHD11 PE=1 SV=1,315,12.06,12.06,0,2,7,3,0,1,1,0,1.63E-47,1,1,3187.581318,3680.439972,3944.703801,3597.303863,3571.599602,3606.861035,2614.348181,4210.493777,3565.166669,3105.177501,Q8NFV4|Q8NFV4-4,ABHD11
PG254107,sp|Q15223|NECT1_HUMAN Nectin-1 OS=Homo sapiens GN=NECTIN1 PE=1 SV=3,517,9.284,9.284,1.934,1,13,4,0,1,1,0,1.75E-47,1,1,8575.055338,7895.336976,7260.685271,7236.396053,7780.978822,8466.800116,7606.160537,7895.231143,7949.124246,7395.104344,Q15223,NECTIN1
PG250420,sp|P16220|CREB1_HUMAN Cyclic AMP-responsive element-binding protein 1 OS=Homo sapiens GN=CREB1 PE=1 SV=2,341,8.211,6.158,4.106,3,10,4,1,1,1,0,1.99E-47,1,1,6415.048772,8053.918128,6172.08392,7380.76415,6206.312681,7002.557854,7047.607171,6459.409869,7404.687387,7652.205994,P16220|P16220-2|P16220-3,CREB1
PG254833,sp|Q9H8W4|PKHF2_HUMAN Pleckstrin homology domain-containing family F member 2 OS=Homo sapiens GN=PLEKHF2 PE=1 SV=1,249,20.88,16.87,0,1,7,3,1,1,1,0,2.00E-47,1,1,4504.459869,3607.393292,3875.90097,3908.955453,3744.838068,3877.156434,3417.273932,4707.52437,3829.927899,5117.489759,Q9H8W4,PLEKHF2
PG246901,sp|Q9H0E2|TOLIP_HUMAN Toll-interacting protein OS=Homo sapiens GN=TOLLIP PE=1 SV=1,274,16.42,16.42,0,1,7,4,0,1,1,0,2.12E-47,1,1,7129.913754,7121.137582,5341.043896,6500.846112,6202.858521,7021.117321,5497.362438,7894.77362,7501.879883,7256.501473,Q9H0E2,TOLLIP
PG248770,sp|Q6UB99|ANR11_HUMAN Ankyrin repeat domain-containing protein 11 OS=Homo sapiens GN=ANKRD11 PE=1 SV=3,2663,1.615,1.615,0,1,25,5,0,1,1,0,2.73E-47,1,1,9387.591918,9698.046598,8069.703307,9142.454518,10082.34816,11461.57414,9795.928583,10675.92921,10064.29173,11612.57129,Q6UB99,ANKRD11
PG250983,sp|Q5QP82|DCA10_HUMAN DDB1- and CUL4-associated factor 10 OS=Homo sapiens GN=DCAF10 PE=1 SV=1,559,10.73,10.73,0,2,10,4,0,1,1,0,2.74E-47,1,1,6192.335606,7030.493001,9218.440901,9355.44516,9391.578268,12516.62376,10842.94379,8527.868847,11508.98147,10905.96175,Q5QP82|Q5QP82-2,DCAF10
PG249498,sp|Q86Y37|CACL1_HUMAN CDK2-associated and cullin domain-containing protein 1 OS=Homo sapiens GN=CACUL1 PE=1 SV=1,369,11.92,11.92,0,1,5,3,0,1,1,0,3.27E-47,1,1,12168.76352,11347.73835,9645.446312,10117.50763,10524.43761,11136.62115,10341.89016,10047.54206,10015.6534,10760.57851,Q86Y37,CACUL1
PG256103,sp|A0MZ66-3|SHOT1_HUMAN Isoform 3 of Shootin-1 OS=Homo sapiens GN=SHTN1,649,7.396,7.396,0,4,4,3,0,1,1,0,3.90E-47,1,1,9556.354217,6929.481315,8277.686674,8063.580179,7996.781725,8005.280517,6183.288382,7294.276565,8681.495033,8536.182179,A0MZ66|A0MZ66-3|A0MZ66-4|A0MZ66-6,SHTN1
PG244331,sp|Q96TA1|NIBL1_HUMAN Niban-like protein 1 OS=Homo sapiens GN=FAM129B PE=1 SV=3,746,8.311,8.311,0,2,20,3,0,1,1,0,4.06E-47,1,1,19307.7962,17629.47381,18353.56205,16349.21795,19750.6343,21456.41073,21668.00794,19776.54983,19849.42241,20761.8219,Q96TA1|Q96TA1-2,FAM129B
PG242144,sp|Q969F9|HPS3_HUMAN Hermansky-Pudlak syndrome 3 protein OS=Homo sapiens GN=HPS3 PE=1 SV=1,1004,5.677,5.677,0,2,6,4,0,1,1,0,4.22E-47,1,1,8193.412403,8436.50717,8873.745706,7980.452725,8842.840142,8148.214084,8240.847299,7839.449692,9148.957484,9086.340556,Q969F9|Q969F9-2,HPS3
PG246775,sp|Q8NDV7|TNR6A_HUMAN Trinucleotide repeat-containing gene 6A protein OS=Homo sapiens GN=TNRC6A PE=1 SV=2,1962,2.854,2.854,0,4,20,4,0,1,1,0,5.00E-47,1,1,12042.88157,13598.99642,10218.12377,9888.98359,11814.64638,15043.36521,13007.96403,11615.76297,11152.25995,13339.70479,Q8NDV7|Q8NDV7-2|Q8NDV7-5|Q8NDV7-6,TNRC6A
PG254496,sp|Q9UKG9-3|OCTC_HUMAN Isoform 3 of Peroxisomal carnitine O-octanoyltransferase OS=Homo sapiens GN=CROT,640,5.781,5.781,0,3,3,3,0,1,1,0,1.98E-46,1,1,3961.041603,3573.136441,3346.947265,3870.334537,4714.575667,4709.286006,3902.568129,4709.614255,3499.339275,4169.666502,Q9UKG9|Q9UKG9-3|C9J3D7,CROT
PG246764,sp|Q8TBZ6|TM10A_HUMAN tRNA methyltransferase 10 homolog A OS=Homo sapiens GN=TRMT10A PE=1 SV=1,339,12.39,12.39,0,1,5,3,0,1,1,0,2.10E-46,1,1,5350.125967,5797.915137,5027.07617,6355.742941,4985.429034,5430.989362,5079.561329,7010.100836,6096.258488,6216.51863,Q8TBZ6,TRMT10A
PG249964,sp|Q9BWT1-2|CDCA7_HUMAN Isoform 2 of Cell division cycle-associated protein 7 OS=Homo sapiens GN=CDCA7,450,8.667,8.667,0,4,5,3,0,1,1,0,2.10E-46,1,1,6897.606006,7380.471686,7170.10311,7734.451707,8793.253635,5453.459875,8027.559364,7562.765917,9566.788061,8775.694839,Q9BWT1|Q9BWT1-2|Q9BWT1-5|Q9BWT1-6,CDCA7
PG250697,tr|H0UI06|H0UI06_HUMAN Cytochrome c oxidase subunit 7A2; mitochondrial OS=Homo sapiens GN=COX7A2 PE=1 SV=1,115,21.74,13.04,11.3,4,10,3,1,2,2,1,2.14E-46,1,1,28092.76935,29715.75455,26316.74105,28369.07304,21720.9841,25334.70363,23059.93815,23684.21726,22333.07812,23041.66414,P14406|H0UI06|D6RIE3|D6RGV5,COX7A2
PG245300,sp|O75884|RBBP9_HUMAN Putative hydrolase RBBP9 OS=Homo sapiens GN=RBBP9 PE=1 SV=2,186,24.73,24.73,0,1,8,3,0,1,1,0,4.00E-46,1,1,22976.03662,28015.08948,24383.77359,25418.81992,22622.34402,22708.00868,24023.29632,20409.35769,25056.29116,22199.60591,O75884,RBBP9
PG248313,sp|Q8IY63|AMOL1_HUMAN Angiomotin-like protein 1 OS=Homo sapiens GN=AMOTL1 PE=1 SV=1,956,5.439,5.439,0,2,6,4,0,1,1,0,5.15E-46,1,1,8651.462957,8788.225384,9503.574699,8423.579935,10181.63976,11777.51433,10425.44822,9009.463093,9565.11546,9563.788499,Q8IY63|Q8IY63-2,AMOTL1
PG253343,sp|Q9Y2Q5-2|LTOR2_HUMAN Isoform 2 of Ragulator complex protein LAMTOR2 OS=Homo sapiens GN=LAMTOR2,150,22,22,0,2,5,3,0,1,1,0,5.33E-46,1,1,21315.11235,18967.10265,16792.12473,13886.11427,17582.66644,18461.65443,14957.08215,16304.97251,18539.9718,16129.18655,Q9Y2Q5|Q9Y2Q5-2,LAMTOR2
PG250117,sp|Q13740-2|CD166_HUMAN Isoform 2 of CD166 antigen OS=Homo sapiens GN=ALCAM,570,5.263,5.263,2.456,1,6,3,0,1,1,0,5.62E-46,1,1,3868.452997,5070.296478,4717.709121,4314.554288,5830.966678,4255.373213,4912.984994,5177.858977,4966.725408,3958.025626,Q13740-2,ALCAM
PG249036,sp|Q9BSB4|ATGA1_HUMAN Autophagy-related protein 101 OS=Homo sapiens GN=ATG101 PE=1 SV=1,218,16.06,16.06,0,1,12,4,0,1,1,0,5.89E-46,1,1,11082.83757,12032.69316,10450.74396,10528.90605,10919.36332,14311.71846,10684.55962,12303.89301,10854.01027,12954.26259,Q9BSB4,ATG101
