Protein Group Name,Representative Protein Description,Total Amino Acids,Sequence Coverage (%),Sequence Coverage Unshared only (%),Sequence Redundancy (%),Numbers of Proteins,# of PSMs,# of Unique Peptides,# Shared Peptides,# PSMs in Experiment,# Unique Seq in Experiment,# Shared Peptides in Experiment,P-Score,# Quantified PSMs,# Quantified Peptides,0minRep1 (TMT 126C PCN),0minRep2 (TMT 127N PCN),0minRep3 (TMT 127C PCN),0minRep4 (TMT 128N PCN),5minRep1 (TMT 128C PCN),5minRep2 (TMT 129N PCN),5minRep3 (TMT 129C PCN),60minRep1 (TMT 130N PCN),60minRep2 (TMT 130C PCN),60minRep3 (TMT 131N PCN),Uniprot IDs,Gene Names
PG252858,tr|G3V4P8|G3V4P8_HUMAN Glia maturation factor beta (Fragment) OS=Homo sapiens GN=GMFB PE=1 SV=1,150,60,36,15.33,2,17,7,2,2,2,1,6.41E-99,1,1,30356.07199,26209.10398,39248.79425,41682.21098,40925.14655,22129.32291,51258.28355,39811.26777,43208.71329,58681.67783,P60983|G3V4P8,GMFB
PG246766,sp|Q9HD45|TM9S3_HUMAN Transmembrane 9 superfamily member 3 OS=Homo sapiens GN=TM9SF3 PE=1 SV=2,589,15.45,15.45,0,1,13,7,0,1,1,0,2.46E-102,1,1,30418.48092,30987.38623,33097.51756,41662.0055,34855.24757,42924.70009,42887.6735,48394.90902,44706.94104,42243.35888,Q9HD45,TM9SF3
PG245575,sp|O94763|RMP_HUMAN Unconventional prefoldin RPB5 interactor 1 OS=Homo sapiens GN=URI1 PE=1 SV=3,535,29.91,29.91,8.224,1,26,12,0,1,1,0,6.10E-177,1,1,30458.92549,31266.032,34562.12237,36328.93489,37045.22365,40383.08156,42592.42136,51456.99864,44905.50581,53469.85569,O94763,URI1
PG248052,sp|Q13362-5|2A5G_HUMAN Isoform 5 of Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform OS=Homo sapiens GN=PPP2R5C,555,27.03,13.33,2.523,5,54,14,6,2,2,1,5.30E-202,1,1,30574.9564,29635.1714,33978.30872,31930.32827,34105.18202,36785.87507,37629.15841,44726.65967,40621.12494,40364.5373,Q13362|Q13362-3|Q13362-4|Q13362-5|H0YJ75,PPP2R5C
PG251845,tr|H0Y368|H0Y368_HUMAN Dolichol-phosphate mannosyltransferase subunit 1 (Fragment) OS=Homo sapiens GN=DPM1 PE=1 SV=1,295,33.22,33.22,4.068,3,17,9,0,1,1,0,1.31E-106,1,1,30603.76623,32244.55364,30742.89851,44471.78432,33256.58957,40909.03623,34824.30387,49507.96575,51389.52825,52661.16432,O60762|Q5QPK2|H0Y368,DPM1
PG246874,sp|Q9BVW5|TIPIN_HUMAN TIMELESS-interacting protein OS=Homo sapiens GN=TIPIN PE=1 SV=2,301,9.302,9.302,0,1,7,3,0,1,1,0,1.12E-44,1,1,31022.45321,31795.72502,28902.125,39211.11418,36650.53947,38600.89079,37594.6241,45463.97597,40325.03287,48029.52509,Q9BVW5,TIPIN
PG250539,sp|Q96D53|COQ8B_HUMAN Atypical kinase COQ8B; mitochondrial OS=Homo sapiens GN=COQ8B PE=1 SV=2,544,13.6,13.6,1.838,2,16,8,0,1,1,0,7.77E-99,1,1,31223.05668,33244.7548,33454.59672,32081.74571,35258.7922,39779.09385,39710.40619,50570.20558,47762.8531,61236.87264,Q96D53|Q96D53-2,COQ8B
PG249717,sp|P20248|CCNA2_HUMAN Cyclin-A2 OS=Homo sapiens GN=CCNA2 PE=1 SV=2,432,28.94,28.94,6.713,1,30,11,0,1,1,0,7.28E-149,1,1,31387.01997,32523.12069,30931.49522,40700.79528,34780.17944,48765.76032,31482.47967,36525.39184,33762.74448,38033.14164,P20248,CCNA2
PG242779,sp|Q9BXK1|KLF16_HUMAN Krueppel-like factor 16 OS=Homo sapiens GN=KLF16 PE=1 SV=1,252,37.3,37.3,0,1,4,4,0,1,1,0,1.06E-52,1,1,31464.21797,34279.37022,38775.47357,38703.10473,40677.89062,43381.40433,33044.00056,48215.97211,45216.70221,47620.53382,Q9BXK1,KLF16
PG252728,sp|Q9Y2X7-3|GIT1_HUMAN Isoform 3 of ARF GTPase-activating protein GIT1 OS=Homo sapiens GN=GIT1,770,40.52,1.039,11.04,1,119,24,23,3,3,2,0,1,1,31598.71951,35383.47621,25043.61485,40634.11384,31445.88232,70061.0596,18795.08437,36676.33844,28823.01516,23984.17958,Q9Y2X7-3,GIT1
PG254653,sp|P56589|PEX3_HUMAN Peroxisomal biogenesis factor 3 OS=Homo sapiens GN=PEX3 PE=1 SV=1,373,21.45,21.45,0,1,21,7,0,1,1,0,1.70E-91,1,1,31561.18733,37442.86856,37215.93215,39534.28392,38048.49925,41266.45799,42159.2519,53907.58222,41673.75178,52762.5563,P56589,PEX3
PG244109,sp|O75438|NDUB1_HUMAN NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1 OS=Homo sapiens GN=NDUFB1 PE=1 SV=1,58,32.76,32.76,0,1,6,2,0,1,1,0,3.27E-27,1,1,31581.62679,35612.48976,36168.15122,49210.85763,44738.96929,43796.35594,49878.99619,66290.56972,47478.5311,73960.34923,O75438,NDUFB1
PG248620,sp|O00203|AP3B1_HUMAN AP-3 complex subunit beta-1 OS=Homo sapiens GN=AP3B1 PE=1 SV=3,1094,32.63,27.88,7.221,2,82,36,7,2,2,1,0,1,1,31632.80129,39130.00918,36664.20589,40491.38221,34721.46181,46085.54845,37716.0797,49451.00369,44672.81081,51675.26869,O00203|O00203-3,AP3B1
PG246264,sp|Q7Z7C8-4|TAF8_HUMAN Isoform 3 of Transcription initiation factor TFIID subunit 8 OS=Homo sapiens GN=TAF8,338,15.38,15.38,0,3,10,4,0,1,1,0,3.16E-56,1,1,31628.81509,39137.05607,41985.63996,38535.26087,43908.43834,45288.53759,43264.38619,51907.9116,45445.29973,53682.51007,Q7Z7C8|Q7Z7C8-2|Q7Z7C8-4,TAF8
PG249883,sp|O15234|CASC3_HUMAN Protein CASC3 OS=Homo sapiens GN=CASC3 PE=1 SV=2,703,26.6,26.6,8.393,1,35,17,0,1,1,0,8.74E-212,1,1,31673.13647,30650.33199,31157.15002,39276.25456,34167.56128,35347.87647,32551.33445,39007.636,50096.96954,47775.94378,O15234,CASC3
PG254200,sp|Q96IY1|NSL1_HUMAN Kinetochore-associated protein NSL1 homolog OS=Homo sapiens GN=NSL1 PE=1 SV=3,281,30.96,30.96,0,1,17,6,0,1,1,0,1.72E-81,1,1,31676.9056,31924.34824,38836.06156,31636.7832,37499.55345,37226.99652,34588.83703,44495.43613,48937.42966,43707.51544,Q96IY1,NSL1
PG249657,sp|P86790|CCZ1B_HUMAN Vacuolar fusion protein CCZ1 homolog B OS=Homo sapiens GN=CCZ1B PE=1 SV=1,482,27.39,27.39,8.714,1,49,12,0,1,1,0,1.37E-169,1,1,31710.88741,35807.25593,35689.77231,41749.20916,39536.79973,40388.15312,42126.06804,48424.11293,52792.32344,52879.87766,P86790,CCZ1B
PG246672,sp|Q8N9M5|TM102_HUMAN Transmembrane protein 102 OS=Homo sapiens GN=TMEM102 PE=1 SV=1,508,24.41,24.41,0,1,23,8,0,1,1,0,6.49E-117,1,1,31732.05773,29473.49816,31487.78504,38089.71582,38624.52336,44415.97212,40390.80863,49273.74284,43832.03168,46359.57828,Q8N9M5,TMEM102
PG250302,sp|Q9NPF2|CHSTB_HUMAN Carbohydrate sulfotransferase 11 OS=Homo sapiens GN=CHST11 PE=1 SV=1,352,10.51,10.51,4.261,2,8,4,0,1,1,0,1.55E-53,1,1,31731.58032,28794.91407,32813.38587,31386.96357,36410.59262,34925.52569,42490.0113,40195.388,44108.09649,47902.41151,Q9NPF2|Q9NPF2-2,CHST11
PG255827,sp|Q8N357|S35F6_HUMAN Solute carrier family 35 member F6 OS=Homo sapiens GN=SLC35F6 PE=1 SV=1,371,6.739,6.739,0,1,7,2,0,1,1,0,2.14E-25,1,1,31781.90677,27893.8357,28317.33659,38232.63908,36027.44808,39306.38553,34543.84881,39655.52854,37185.45291,39660.03857,Q8N357,SLC35F6
PG246207,sp|Q9UMZ2|SYNRG_HUMAN Synergin gamma OS=Homo sapiens GN=SYNRG PE=1 SV=2,1314,18.72,18.72,6.773,6,69,22,0,1,1,0,5.20E-300,1,1,31799.00529,36144.47926,36604.19733,43553.91995,54541.13923,53418.91722,43848.4855,48559.16153,50956.71773,52112.09873,Q9UMZ2|Q9UMZ2-3|Q9UMZ2-4|Q9UMZ2-5|Q9UMZ2-7|Q9UMZ2-8,SYNRG
PG243217,sp|Q9H9P8|L2HDH_HUMAN L-2-hydroxyglutarate dehydrogenase; mitochondrial OS=Homo sapiens GN=L2HGDH PE=1 SV=3,463,17.93,17.93,0,1,9,6,0,1,1,0,3.95E-79,1,1,31873.48168,37206.8815,37256.61303,44540.93177,47460.80606,52531.82564,48715.06646,52900.71111,49393.87775,48026.67229,Q9H9P8,L2HGDH
PG253827,sp|P45983-4|MK08_HUMAN Isoform 4 of Mitogen-activated protein kinase 8 OS=Homo sapiens GN=MAPK8,427,18.97,14.75,0,4,16,7,2,2,2,1,4.44E-88,1,1,31906.76951,33914.01202,32533.03916,44487.88465,36138.72969,24766.65441,37888.29464,45437.03754,45484.59644,50860.46043,P45983|P45983-2|P45983-3|P45983-4,MAPK8
PG251317,sp|Q06265-2|EXOS9_HUMAN Isoform 2 of Exosome complex component RRP45 OS=Homo sapiens GN=EXOSC9,456,31.36,31.36,0,2,25,10,0,1,1,0,2.82E-156,1,1,31919.92308,35291.94287,37578.80874,39507.22771,39869.88444,48505.01481,44598.89486,46948.2908,51913.86872,55335.26184,Q06265|Q06265-2,EXOSC9
PG253242,sp|Q9BT25|HAUS8_HUMAN HAUS augmin-like complex subunit 8 OS=Homo sapiens GN=HAUS8 PE=1 SV=3,410,11.95,11.95,0,2,8,5,0,1,1,0,6.05E-55,1,1,31952.8486,33166.13964,39232.83113,31353.44118,39101.47132,31563.36316,41869.46573,42584.62888,42423.61532,44208.16728,Q9BT25|Q9BT25-3,HAUS8
PG254352,sp|O95478|NSA2_HUMAN Ribosome biogenesis protein NSA2 homolog OS=Homo sapiens GN=NSA2 PE=1 SV=1,260,44.62,44.62,0,1,24,11,0,1,1,0,3.41E-146,1,1,31979.0175,33212.20676,37878.02839,38970.09083,36996.30838,43918.42775,40554.61894,46259.72994,45708.46862,52850.30693,O95478,NSA2
PG243794,sp|O95182|NDUA7_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 OS=Homo sapiens GN=NDUFA7 PE=1 SV=3,113,37.17,37.17,7.08,1,8,4,0,1,1,0,3.12E-54,1,1,32038.8447,36750.66071,33219.449,39322.24357,40816.61077,46898.65083,41808.6066,51364.69382,48914.02484,58502.02335,O95182,NDUFA7
PG255972,sp|Q86VE9-4|SERC5_HUMAN Isoform 4 of Serine incorporator 5 OS=Homo sapiens GN=SERINC5,461,7.592,7.592,0,6,2,2,0,1,1,0,1.20E-20,1,1,32213.00264,37684.79095,29247.09421,35830.90366,37159.10732,53612.59939,48689.3597,56567.42524,52230.53202,66187.58032,Q86VE9|Q86VE9-2|Q86VE9-3|Q86VE9-4|A0A0A0MTB0|A0A0J9YYI4,SERINC5
PG247139,sp|O14657|TOR1B_HUMAN Torsin-1B OS=Homo sapiens GN=TOR1B PE=1 SV=2,336,13.39,13.39,0,1,8,4,0,1,1,0,4.10E-52,1,1,32186.7645,33021.30751,38244.38038,46275.71426,47213.48902,36224.94893,38686.53569,52603.30561,42478.72544,48405.64681,O14657,TOR1B
PG247397,sp|Q9NV66|TYW1_HUMAN S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase OS=Homo sapiens GN=TYW1 PE=2 SV=2,732,6.694,6.694,0,2,6,4,0,1,1,0,1.14E-48,1,1,32251.91587,35875.63779,37887.13803,37017.17857,49637.87468,52344.41317,47466.01784,59277.4532,47272.2829,66562.78393,Q9NV66|A0A087WUV9,TYW1
PG250114,sp|Q9NWW5|CLN6_HUMAN Ceroid-lipofuscinosis neuronal protein 6 OS=Homo sapiens GN=CLN6 PE=1 SV=1,311,10.29,10.29,0,9,19,2,0,1,1,0,4.01E-38,1,1,32363.64783,29911.60401,31139.24743,26073.15801,31304.97837,33268.88574,38099.71472,39337.30651,37870.59055,44315.708,Q9NWW5|A0A0S2Z5D0|H3BUT1|A0A1B0GTV3|A0A1B0GUD2|A0A1B0GTU6|H3BUV4|H3BNF1,CLN6
PG242710,sp|Q96HW7|INT4_HUMAN Integrator complex subunit 4 OS=Homo sapiens GN=INTS4 PE=1 SV=2,963,20.77,20.77,1.661,1,40,17,0,1,1,0,2.31E-236,1,1,32480.5816,35691.86649,35499.56576,35197.54175,38203.12337,34809.91544,36986.59354,46635.26771,45197.94696,47778.71839,Q96HW7,INTS4
PG254150,sp|P49790|NU153_HUMAN Nuclear pore complex protein Nup153 OS=Homo sapiens GN=NUP153 PE=1 SV=2,1475,32.54,1.288,4.339,1,142,40,39,8,8,7,0,1,1,32524.30721,34781.46343,35373.56213,41603.07876,36583.18874,46015.69193,43248.01576,50832.9971,53764.52735,59665.26226,P49790,NUP153
PG249318,tr|J3KN59|J3KN59_HUMAN BCL2/adenovirus E1B 19 kDa protein-interacting protein 2 OS=Homo sapiens GN=BNIP2 PE=1 SV=1,435,12.41,12.41,4.138,3,12,7,0,1,1,0,1.69E-94,1,1,32571.98856,29518.26846,22633.69107,34890.05411,38315.82896,41723.95053,41970.04341,53716.2235,42937.54703,49325.96841,Q12982|Q12982-2|J3KN59,BNIP2
PG245868,sp|Q6GMV2|SMYD5_HUMAN SET and MYND domain-containing protein 5 OS=Homo sapiens GN=SMYD5 PE=1 SV=2,418,18.18,18.18,0,1,16,5,0,1,1,0,7.05E-81,1,1,32558.50348,38136.25298,32700.64936,39219.65056,37869.7084,48718.97653,37570.06279,46023.6216,43664.60928,55145.48206,Q6GMV2,SMYD5
PG252857,sp|Q9UKD1|GMEB2_HUMAN Glucocorticoid modulatory element-binding protein 2 OS=Homo sapiens GN=GMEB2 PE=1 SV=1,530,16.04,14.15,0,2,17,8,1,2,2,1,1.72E-108,1,1,32601.07614,29196.47356,31353.74199,39277.9074,39733.94856,34463.20732,40257.70114,44409.36546,45999.18851,46954.6624,Q9UKD1|Q5JTV1,GMEB2
PG255958,tr|J3KNP4|J3KNP4_HUMAN Semaphorin-4B OS=Homo sapiens GN=SEMA4B PE=1 SV=1,837,6.691,6.691,0,2,8,4,0,1,1,0,9.24E-46,1,1,32589.03688,30139.78979,35510.30671,26826.53016,26818.18342,36975.65407,47696.22583,38064.93014,46543.17192,50264.66093,Q9NPR2|J3KNP4,SEMA4B
PG249129,tr|I3L448|I3L448_HUMAN ATP synthase mitochondrial F1 complex assembly factor 1 OS=Homo sapiens GN=ATPAF1 PE=1 SV=1,351,17.38,17.38,4.843,2,16,6,0,1,1,0,8.04E-89,1,1,32621.02761,39596.38731,38461.35602,35071.37825,31170.73316,38246.45335,37750.437,45639.58569,43279.33641,49472.57666,Q5TC12|I3L448,ATPAF1
PG244492,sp|Q13951|PEBB_HUMAN Core-binding factor subunit beta OS=Homo sapiens GN=CBFB PE=1 SV=2,182,58.79,10.44,23.63,1,56,14,12,7,6,5,6.72E-191,1,1,32720.94528,34003.79991,33409.89671,38838.61515,34617.58737,27843.90442,39498.28712,37613.76123,43223.27906,44008.6474,Q13951,CBFB
PG254879,sp|P11117|PPAL_HUMAN Lysosomal acid phosphatase OS=Homo sapiens GN=ACP2 PE=1 SV=3,423,5.674,5.674,0,4,7,3,0,2,1,0,7.64E-33,2,1,32800.62077,35197.59815,34990.31265,37216.16238,46736.06544,53396.00898,51544.86313,54343.14134,54036.63746,62156.23051,P11117|B7Z7D2|E9PQY3|E9PHY0,ACP2
PG242148,sp|Q8TCT9-2|HM13_HUMAN Isoform 2 of Minor histocompatibility antigen H13 OS=Homo sapiens GN=HM13,426,9.39,9.39,0,3,15,4,0,3,1,0,1.42E-55,3,1,32823.54842,42366.41003,49373.88022,29718.83322,44563.41401,44011.52321,43068.07704,44078.16891,53702.89281,59140.21311,Q8TCT9|Q8TCT9-2|Q8TCT9-5,HM13
PG254616,sp|Q9NUG6|PDRG1_HUMAN p53 and DNA damage-regulated protein 1 OS=Homo sapiens GN=PDRG1 PE=1 SV=2,133,15.04,15.04,0,1,7,2,0,1,1,0,1.17E-23,1,1,33021.52404,36452.70552,35804.32287,38424.05734,38908.01276,46866.36396,48154.17624,50614.12897,49623.0382,45212.45121,Q9NUG6,PDRG1
PG256405,sp|Q9UNK0|STX8_HUMAN Syntaxin-8 OS=Homo sapiens GN=STX8 PE=1 SV=2,236,25.85,25.85,0,1,15,5,0,1,1,0,1.96E-72,1,1,33290.73723,40602.24232,41342.79231,30729.46318,33804.49485,31621.09855,32232.61436,41464.24016,43442.09029,45487.22729,Q9UNK0,STX8
PG251060,sp|P30825|CTR1_HUMAN High affinity cationic amino acid transporter 1 OS=Homo sapiens GN=SLC7A1 PE=1 SV=1,629,6.359,6.359,0,1,7,3,0,1,1,0,1.08E-41,1,1,33354.87611,38340.67843,32084.78612,33003.59938,29084.55764,52469.03121,33325.84928,33127.27366,34096.29832,47696.87032,P30825,SLC7A1
PG244925,sp|P61254|RL26_HUMAN 60S ribosomal protein L26 OS=Homo sapiens GN=RPL26 PE=1 SV=1,145,67.59,5.517,32.41,1,71,16,15,19,12,11,3.62E-222,1,1,33495.71934,37146.00311,30244.66187,37746.3707,48075.25543,37213.35594,40710.04776,45592.83265,51358.28033,52177.96529,P61254,RPL26
PG253887,sp|Q6P0N0|M18BP_HUMAN Mis18-binding protein 1 OS=Homo sapiens GN=MIS18BP1 PE=1 SV=1,1132,15.46,15.46,2.208,1,48,15,0,1,1,0,1.62E-195,1,1,33604.46964,31845.42917,29930.50426,30650.93853,33563.56749,36644.14296,35641.83339,47146.60632,40136.24898,44742.64155,Q6P0N0,MIS18BP1
PG254334,sp|Q96G61|NUD11_HUMAN Diphosphoinositol polyphosphate phosphohydrolase 3-beta OS=Homo sapiens GN=NUDT11 PE=1 SV=1,164,46.95,32.32,0,1,17,6,2,4,3,2,5.58E-79,1,1,33643.31106,39101.40879,37130.26631,45535.01939,34142.60775,34960.72168,40784.80012,47359.22294,45514.502,50001.32794,Q96G61,NUDT11
PG246688,sp|P0C1Z6|TFPT_HUMAN TCF3 fusion partner OS=Homo sapiens GN=TFPT PE=1 SV=1,253,46.64,46.64,15.81,2,64,11,0,1,1,0,4.08E-153,1,1,33976.69623,39973.00978,37080.14711,40224.26526,41593.87735,50223.67613,45654.09597,48716.07387,51647.76611,55703.82144,P0C1Z6|G5E9B5,TFPT
PG246114,sp|Q15477|SKIV2_HUMAN Helicase SKI2W OS=Homo sapiens GN=SKIV2L PE=1 SV=3,1246,17.82,17.82,0.8828,1,33,18,0,1,1,0,6.06E-248,1,1,34160.87452,31302.79841,40847.44382,41560.4328,32534.91451,42628.74001,39645.94158,48153.45071,47787.07524,52467.84532,Q15477,SKIV2L
PG246366,sp|P52657|T2AG_HUMAN Transcription initiation factor IIA subunit 2 OS=Homo sapiens GN=GTF2A2 PE=1 SV=1,109,23.85,23.85,0,1,5,3,0,1,1,0,3.00E-32,1,1,34211.47752,40056.60877,35197.17168,42390.53448,44538.6048,49598.6566,43234.27364,45402.33708,50000.53562,49721.40522,P52657,GTF2A2
PG250633,sp|Q7Z3D6-2|CN159_HUMAN Isoform 2 of UPF0317 protein C14orf159; mitochondrial OS=Homo sapiens GN=C14orf159,621,5.797,5.797,0,4,4,3,0,1,1,0,3.62E-49,1,1,34244.78395,36369.13327,33600.93996,35118.76422,34831.4605,42717.15137,39596.09932,50924.88607,47620.55137,47673.04865,Q7Z3D6|Q7Z3D6-2|Q7Z3D6-3|Q7Z3D6-5,C14orf159
PG243801,sp|Q14CX7|NAA25_HUMAN N-alpha-acetyltransferase 25; NatB auxiliary subunit OS=Homo sapiens GN=NAA25 PE=1 SV=1,972,24.59,24.59,3.086,1,48,23,0,1,1,0,1.27449174001208E-319,1,1,34266.97966,37292.77252,39893.35237,41405.30386,42820.97196,53547.30898,49773.35181,55949.45934,54782.49622,55122.16144,Q14CX7,NAA25
PG252334,sp|Q7L8L6|FAKD5_HUMAN FAST kinase domain-containing protein 5; mitochondrial OS=Homo sapiens GN=FASTKD5 PE=1 SV=1,764,7.068,7.068,0,1,13,5,0,1,1,0,4.91E-63,1,1,34442.95348,40170.62064,40214.85426,48319.99759,45907.04564,52888.34986,46575.30047,56288.38007,53729.5825,58542.98214,Q7L8L6,FASTKD5
PG253501,sp|Q9UFC0|LRWD1_HUMAN Leucine-rich repeat and WD repeat-containing protein 1 OS=Homo sapiens GN=LRWD1 PE=1 SV=2,647,33.85,33.85,2.164,1,55,17,0,1,1,0,4.19E-237,1,1,34560.00236,39924.57805,40104.35913,40284.46897,41039.09006,36728.13828,41623.42669,48343.61098,51145.09837,58719.45075,Q9UFC0,LRWD1
PG249543,sp|P20290-2|BTF3_HUMAN Isoform 2 of Transcription factor BTF3 OS=Homo sapiens GN=BTF3,162,62.96,6.173,35.8,1,45,11,10,11,8,7,9.82E-151,1,1,34602.42233,40584.60804,34122.24243,42989.31562,47586.3776,60425.94148,46075.66942,52297.33213,45505.79285,50820.56167,P20290-2,BTF3
PG251914,sp|P33316|DUT_HUMAN Deoxyuridine 5'-triphosphate nucleotidohydrolase; mitochondrial OS=Homo sapiens GN=DUT PE=1 SV=4,252,59.13,7.54,21.43,1,78,14,13,14,8,7,1.94E-200,1,1,34698.65818,46700.20289,50902.94747,49214.05777,41342.56046,54706.2716,46423.48205,56909.91198,54635.6207,67438.25707,P33316,DUT
PG256706,tr|L7N2F9|L7N2F9_HUMAN Uncharacterized protein (Fragment) OS=Homo sapiens PE=4 SV=1,121,35.54,13.22,19.83,4,11,5,4,3,3,2,2.76E-61,1,1,34757.71433,36893.01982,36629.71146,38155.4569,41492.16055,47631.61879,46883.11995,51533.73123,49150.74152,59811.45345,P63027|F8WCA0|J3QRU4,VAMP2
PG249389,sp|Q9NW68-3|BSDC1_HUMAN Isoform 3 of BSD domain-containing protein 1 OS=Homo sapiens GN=BSDC1,474,8.228,8.228,1.688,6,9,4,0,1,1,0,5.50E-55,1,1,34822.3718,43058.71228,38410.41616,40227.30035,40164.27521,40090.09826,44851.54964,49876.53259,43966.32251,55037.04061,Q9NW68|Q9NW68-2|Q9NW68-3|Q9NW68-7|Q9NW68-8|Q9NW68-9,BSDC1
PG251038,sp|Q9UJU6-2|DBNL_HUMAN Isoform 2 of Drebrin-like protein OS=Homo sapiens GN=DBNL,431,44.78,3.016,10.67,1,140,20,19,14,10,9,2.94E-301,1,1,34893.57559,36688.93856,37391.71857,37944.86576,30010.2031,42134.2536,38153.01232,43730.54151,45417.45644,56484.38442,Q9UJU6-2,DBNL
PG247406,sp|Q712K3|UB2R2_HUMAN Ubiquitin-conjugating enzyme E2 R2 OS=Homo sapiens GN=UBE2R2 PE=1 SV=1,238,36.13,36.13,7.563,1,16,7,0,1,1,0,6.74E-94,1,1,34923.84465,41357.51474,41558.7466,49411.76368,47275.04338,68004.7433,51972.84156,62477.88097,49225.21582,61112.40333,Q712K3,UBE2R2
PG255754,tr|J3QLS3|J3QLS3_HUMAN 28S ribosomal protein S7; mitochondrial OS=Homo sapiens GN=MRPS7 PE=1 SV=1,271,42.44,42.44,8.856,2,27,12,0,1,1,0,9.92E-164,1,1,34954.85083,41045.82455,40130.68306,39625.25536,47249.26456,50413.92106,45137.65335,54028.70381,52441.86822,54316.45321,Q9Y2R9|J3QLS3,MRPS7
PG249320,sp|Q8WXE1|ATRIP_HUMAN ATR-interacting protein OS=Homo sapiens GN=ATRIP PE=1 SV=1,791,5.942,5.942,1.391,4,18,5,0,1,1,0,9.39E-72,1,1,34944.98432,42503.5571,44954.99601,39635.21016,46417.86499,50800.46528,43071.19092,57087.74202,50664.16291,50466.19949,Q8WXE1|Q8WXE1-2|Q8WXE1-3|Q8WXE1-5,ATRIP
PG251994,tr|A0A0U1RRM6|A0A0U1RRM6_HUMAN Protein enabled homolog OS=Homo sapiens GN=ENAH PE=1 SV=1,802,13.84,13.84,1.746,3,24,9,0,1,1,0,5.70E-106,1,1,35145.28356,43835.31008,38425.59134,52971.88031,54429.12948,55591.03766,49179.84949,67805.70762,60354.73752,67223.98079,Q8N8S7-2|Q8N8S7-3|A0A0U1RRM6,ENAH
PG249179,sp|Q9Y679|AUP1_HUMAN Ancient ubiquitous protein 1 OS=Homo sapiens GN=AUP1 PE=1 SV=1,476,25.42,25.42,2.731,2,25,9,0,1,1,0,2.75E-127,1,1,35160.32259,40934.84906,40022.01992,36067.68316,42965.99443,46162.94435,48035.2377,48974.0875,45444.15764,59580.29782,Q9Y679|Q9Y679-2,AUP1
PG245009,sp|Q8WWW0|RASF5_HUMAN Ras association domain-containing protein 5 OS=Homo sapiens GN=RASSF5 PE=1 SV=1,418,10.05,10.05,0,4,6,3,0,1,1,0,6.50E-44,1,1,35210.45289,32418.25021,27073.37191,32400.81009,37460.34759,51018.0049,36164.31542,49794.25813,46543.24229,48282.73858,Q8WWW0|Q8WWW0-2|Q8TEK8|A0A1B0GTG4,RASSF5|FLJ00186
PG243051,sp|Q06136|KDSR_HUMAN 3-ketodihydrosphingosine reductase OS=Homo sapiens GN=KDSR PE=1 SV=1,332,8.133,8.133,0,2,4,2,0,1,1,0,5.89E-29,1,1,35277.70569,35103.29326,33964.17478,35566.15846,36077.61357,39861.36586,35451.98234,44600.89635,46697.30056,58238.17483,Q06136|K7ERC8,KDSR
PG252461,sp|Q96HJ9|FMC1_HUMAN Protein FMC1 homolog OS=Homo sapiens GN=FMC1 PE=1 SV=2,113,43.36,43.36,9.735,1,7,5,0,1,1,0,1.59E-66,1,1,35334.54604,38284.33132,43107.50609,40613.05108,40184.18836,42466.29451,44318.61588,57009.56956,51085.68239,52485.93531,Q96HJ9,FMC1
PG243602,sp|Q9BWT6|MND1_HUMAN Meiotic nuclear division protein 1 homolog OS=Homo sapiens GN=MND1 PE=1 SV=1,205,12.68,12.68,0,2,4,2,0,1,1,0,3.38E-30,1,1,35429.0424,47892.18441,53331.1153,50087.2233,54842.10279,64408.70372,59304.13353,72061.20586,62224.05938,73746.38575,Q9BWT6|D6R9E3,MND1
PG252026,sp|O75477|ERLN1_HUMAN Erlin-1 OS=Homo sapiens GN=ERLIN1 PE=1 SV=1,346,25.14,16.18,0,1,17,7,3,2,2,1,1.77E-88,1,1,35524.71203,34794.67178,40112.95032,34967.31753,45655.79556,41199.74324,40428.87766,51186.21015,53046.24732,56165.44919,O75477,ERLIN1
PG256032,tr|A0A0B4J1S4|A0A0B4J1S4_HUMAN Selenoprotein F OS=Homo sapiens GN=SELENOF PE=1 SV=1,165,34.55,34.55,0,3,11,5,0,1,1,0,2.37E-74,1,1,35590.26319,36230.60958,38296.82459,46527.04963,52482.90267,62678.06365,51098.75098,62749.12102,60677.05175,71677.32098,O60613|A0A087X1G7|A0A0B4J1S4,SELENOF
PG247081,sp|P01733|TVB1_HUMAN T-cell receptor beta chain V region YT35 OS=Homo sapiens GN=TRBV12-3 PE=1 SV=1,135,14.81,14.81,0,4,7,2,0,1,1,0,1.02E-26,1,1,35675.36625,39144.44861,40873.26922,30877.6286,32324.06264,25429.19123,32640.09198,28677.93943,32560.75494,21560.91337,P01733|A0A0A6YYD5|A0A0B4J2E0|A0A1B0GX12,TRBV12-3|TRBV12-4
PG248269,tr|G3V2U7|G3V2U7_HUMAN Acylphosphatase OS=Homo sapiens GN=ACYP1 PE=1 SV=1,129,41.09,41.09,0,2,9,5,0,1,1,0,3.67E-66,1,1,35726.99056,37962.89461,35831.91249,44687.09208,41977.62566,46340.38509,42605.12821,43710.625,43892.49503,53015.39906,P07311|G3V2U7,ACYP1
