Protein Group Name,Representative Protein Description,Total Amino Acids,Sequence Coverage (%),Sequence Coverage Unshared only (%),Sequence Redundancy (%),Numbers of Proteins,# of PSMs,# of Unique Peptides,# Shared Peptides,# PSMs in Experiment,# Unique Seq in Experiment,# Shared Peptides in Experiment,P-Score,# Quantified PSMs,# Quantified Peptides,WT_0Min_(TMT 126C PCN),WT_0Min_(TMT 127N PCN),_Genome_0Min_(TMT 127C PCN),_Genome_0Min_(TMT 127C PCN),WT_60Min_(TMT 128C PCN),WT_60Min_(TMT 128C PCN),_Env_60Min_(TMT 129C PCN),_Env_60Min_(TMT 130N PCN),_Genome_60Min_(TMT 130C PCN),_Genome_60Min_(TMT 131N PCN),Uniprot IDs,Gene Names
PG243602,sp|Q9BWT6|MND1_HUMAN Meiotic nuclear division protein 1 homolog OS=Homo sapiens GN=MND1 PE=1 SV=1,205,12.68,12.68,0,2,4,2,0,1,1,0,3.38E-30,1,1,11965.74938,12377.84842,10525.64608,11972.73516,11647.62668,13824.49012,11622.82303,13016.99109,10969.43205,12333.7579,Q9BWT6|D6R9E3,MND1
PG252395,sp|Q9BSK4|FEM1A_HUMAN Protein fem-1 homolog A OS=Homo sapiens GN=FEM1A PE=1 SV=1,669,5.531,5.531,0,1,2,2,0,1,1,0,3.98E-30,1,1,7560.774834,7242.400761,6807.795062,6908.333898,6151.27605,5074.025963,6612.410832,6633.9618,5142.162638,4341.973082,Q9BSK4,FEM1A
PG255207,sp|Q92786|PROX1_HUMAN Prospero homeobox protein 1 OS=Homo sapiens GN=PROX1 PE=1 SV=2,737,2.578,2.578,0,1,6,2,0,1,1,0,4.14E-30,1,1,9246.610192,8925.802126,9665.595467,9327.434708,7933.517786,11199.48389,7990.001368,9985.849421,12496.41644,9605.463291,Q92786,PROX1
PG250254,sp|A6NDU8|CE051_HUMAN UPF0600 protein C5orf51 OS=Homo sapiens GN=C5orf51 PE=1 SV=1,294,12.93,12.93,0,1,4,2,0,1,1,0,4.78E-30,1,1,3699.552964,3576.791978,2905.268992,4100.889103,3536.887078,2838.686075,2563.352246,3807.205993,3196.360277,3012.733379,A6NDU8,C5orf51
PG256633,sp|Q2T9J0|TYSD1_HUMAN Peroxisomal leader peptide-processing protease OS=Homo sapiens GN=TYSND1 PE=1 SV=3,566,4.77,4.77,0,1,5,2,0,1,1,0,5.24E-30,1,1,4022.384024,3663.730272,3744.098801,4068.968181,4552.761867,4149.454811,4298.364999,3780.688545,3564.710123,6211.315554,Q2T9J0,TYSND1
PG249539,sp|Q10589|BST2_HUMAN Bone marrow stromal antigen 2 OS=Homo sapiens GN=BST2 PE=1 SV=1,180,13.89,13.89,0,2,4,2,0,1,1,0,5.62E-30,1,1,14832.89802,15684.07536,16302.83493,17404.86362,14652.98701,13167.10658,13038.65158,11795.40078,15725.29546,16654.48229,Q10589|Q10589-2,BST2
PG244251,sp|O43677|NDUC1_HUMAN NADH dehydrogenase [ubiquinone] 1 subunit C1; mitochondrial OS=Homo sapiens GN=NDUFC1 PE=3 SV=1,76,27.63,27.63,0,1,7,2,0,1,1,0,5.99E-30,1,1,12175.7684,12101.05018,9214.326963,7367.200356,8769.940831,7360.717423,9212.946748,7348.619919,8303.767772,8716.026465,O43677,NDUFC1
PG256191,sp|Q12981|SEC20_HUMAN Vesicle transport protein SEC20 OS=Homo sapiens GN=BNIP1 PE=1 SV=3,228,8.772,8.772,0,1,4,2,0,1,1,0,8.00E-30,1,1,9179.352118,8967.590636,9069.825539,8614.233032,6992.115333,8286.882442,8130.560556,9796.359132,9663.98929,8227.087086,Q12981,BNIP1
PG249024,sp|Q9Y576|ASB1_HUMAN Ankyrin repeat and SOCS box protein 1 OS=Homo sapiens GN=ASB1 PE=1 SV=1,335,8.955,8.955,0,2,3,2,0,1,1,0,8.16E-30,1,1,7051.881727,7343.579843,7358.887889,6319.886983,6695.968453,7137.828098,6478.024851,7424.392248,6974.92048,7185.025316,Q9Y576|B9A047,ASB1
PG247357,sp|Q9Y5S1|TRPV2_HUMAN Transient receptor potential cation channel subfamily V member 2 OS=Homo sapiens GN=TRPV2 PE=1 SV=1,764,3.927,3.927,0,2,2,2,0,1,1,0,9.32E-30,1,1,4378.516187,4299.374877,5973.518075,5120.352677,5253.678572,5434.996982,4378.710021,4405.29637,4238.322212,3400.157265,Q9Y5S1|H7BZK2,TRPV2
PG249332,sp|Q8TDH9|BL1S5_HUMAN Biogenesis of lysosome-related organelles complex 1 subunit 5 OS=Homo sapiens GN=BLOC1S5 PE=1 SV=1,187,9.626,9.626,0,2,7,2,0,1,1,0,9.39E-30,1,1,9133.860158,7755.793037,8942.723948,9184.380807,6740.540702,9290.396658,8602.625747,8899.492462,9380.080119,8449.349422,Q8TDH9|H3BN57,BLOC1S5|BLOC1S5-TXNDC5
PG248662,sp|Q9Y689|ARL5A_HUMAN ADP-ribosylation factor-like protein 5A OS=Homo sapiens GN=ARL5A PE=1 SV=1,179,10.06,5.587,0,2,2,2,1,1,1,0,9.78E-30,1,1,18103.45831,18941.57779,21362.04954,20993.79181,21945.72722,21877.39639,20307.93808,18734.46387,22199.03998,24117.74231,Q9Y689|Q9Y689-2,ARL5A
PG254252,sp|Q8TEA1|NSUN6_HUMAN Putative methyltransferase NSUN6 OS=Homo sapiens GN=NSUN6 PE=1 SV=1,469,4.478,4.478,0,1,3,2,0,1,1,0,1.21E-29,1,1,12915.08543,12897.5298,11634.13094,11916.50142,12818.28924,13777.28577,13048.45697,12113.9003,12213.4708,14557.23927,Q8TEA1,NSUN6
PG255756,sp|O60783|RT14_HUMAN 28S ribosomal protein S14; mitochondrial OS=Homo sapiens GN=MRPS14 PE=1 SV=1,128,18.75,18.75,0,1,5,2,0,1,1,0,1.26E-29,1,1,12679.48327,13496.78361,9475.756143,12069.16108,11914.63325,10890.92127,10932.57802,10627.34392,12261.08427,10678.34722,O60783,MRPS14
PG249980,sp|Q92674|CENPI_HUMAN Centromere protein I OS=Homo sapiens GN=CENPI PE=1 SV=2,756,2.778,2.778,0,2,5,2,0,1,1,0,1.31E-29,1,1,11608.54852,13352.59453,12272.06506,11329.7778,10967.20815,10534.52479,10939.82214,10819.39547,11859.32459,11964.57969,Q92674|Q92674-2,CENPI
PG247921,sp|Q8WTS1|ABHD5_HUMAN 1-acylglycerol-3-phosphate O-acyltransferase ABHD5 OS=Homo sapiens GN=ABHD5 PE=1 SV=1,349,13.18,13.18,0,2,3,2,0,1,1,0,1.49E-29,1,1,485.4614247,596.3512258,595.2566971,453.4240485,523.9386802,726.0222999,693.2678591,351.1951598,393.8482468,810.9144645,Q8WTS1|H7BZY9,ABHD5
PG247451,sp|Q13432|U119A_HUMAN Protein unc-119 homolog A OS=Homo sapiens GN=UNC119 PE=1 SV=1,240,11.67,11.67,0,2,3,2,0,2,2,0,1.71E-29,1,1,21904.14005,20253.39548,21358.65712,22479.06945,20172.77211,20608.67604,20983.71722,18610.44641,22574.79416,20601.55905,Q13432|K7EN86,UNC119
PG247203,sp|Q9UPQ4-2|TRI35_HUMAN Isoform 2 of Tripartite motif-containing protein 35 OS=Homo sapiens GN=TRIM35,493,5.071,5.071,0,3,5,2,0,1,1,0,2.01E-29,1,1,10345.14125,9117.237312,9411.547809,8901.338256,8946.046721,9247.243147,9584.447048,7440.517447,11129.00806,10306.07835,Q9UPQ4|Q9UPQ4-2|E5RGB3,TRIM35
PG245433,sp|Q9HBH0|RHOF_HUMAN Rho-related GTP-binding protein RhoF OS=Homo sapiens GN=RHOF PE=1 SV=1,211,9.953,9.953,0,1,3,2,0,1,1,0,2.27E-29,1,1,9126.869131,9597.148064,7713.493641,7367.456186,8893.718517,7040.05529,8772.155147,6942.408317,8479.640524,8159.30931,Q9HBH0,RHOF
PG256682,sp|Q6PHR2-4|ULK3_HUMAN Isoform 4 of Serine/threonine-protein kinase ULK3 OS=Homo sapiens GN=ULK3,483,5.797,5.797,0,3,4,2,0,1,1,0,2.81E-29,1,1,13138.72116,12183.42172,12538.13984,10801.89427,11167.23503,10973.04863,11084.10645,11248.71816,10634.71402,10434.34372,Q6PHR2|Q6PHR2-3|Q6PHR2-4,ULK3
PG257233,sp|Q8TBK6-2|ZCH10_HUMAN Isoform 2 of Zinc finger CCHC domain-containing protein 10 OS=Homo sapiens GN=ZCCHC10,170,14.12,14.12,0,1,3,2,0,1,1,0,3.24E-29,1,1,4893.140224,3784.941432,7287.713874,6504.20158,8793.930527,7685.057345,8768.58614,7950.361326,8761.896536,9135.065709,Q8TBK6-2,ZCCHC10
PG245813,sp|Q6IEG0|SNR48_HUMAN U11/U12 small nuclear ribonucleoprotein 48 kDa protein OS=Homo sapiens GN=SNRNP48 PE=1 SV=2,339,7.08,7.08,0,1,2,2,0,1,1,0,3.27E-29,1,1,12891.96322,9593.263845,12543.56493,11698.06455,11926.5406,14113.73319,13067.07591,14053.00153,13641.50288,14650.03544,Q6IEG0,SNRNP48
PG247605,tr|A0A0C4DFR8|A0A0C4DFR8_HUMAN Protein UXT OS=Homo sapiens GN=UXT PE=1 SV=1,169,14.79,14.79,0,2,3,2,0,1,1,0,3.39E-29,1,1,6067.427137,4915.725165,6541.673609,5686.105893,7787.39689,6689.059733,6082.175614,8887.135839,5976.852597,6116.825574,Q9UBK9|A0A0C4DFR8,UXT
PG251264,tr|A0A087WVP1|A0A087WVP1_HUMAN Protocadherin Fat 1 OS=Homo sapiens GN=FAT1 PE=1 SV=1,4590,0.4575,0.4575,0,2,2,2,0,1,1,0,3.61E-29,1,1,5509.12914,6875.673941,7123.957826,7824.618964,6905.365446,8084.8734,6992.697239,8214.607181,8298.53304,6730.545918,Q14517|A0A087WVP1,FAT1
PG246180,sp|Q7L3T8|SYPM_HUMAN Probable proline--tRNA ligase; mitochondrial OS=Homo sapiens GN=PARS2 PE=1 SV=1,475,4.632,4.632,0,1,5,2,0,1,1,0,3.84E-29,1,1,22731.5412,23159.35432,17731.10181,19866.86782,18827.21473,19082.80555,21619.46512,18776.69221,20120.0661,20016.08512,Q7L3T8,PARS2
PG242650,tr|A0A0C4DFW2|A0A0C4DFW2_HUMAN Inhibitor of growth protein OS=Homo sapiens GN=ING1 PE=1 SV=1,422,7.583,7.583,0,6,6,2,0,1,1,0,3.96E-29,1,1,5135.356488,6886.762878,5509.7885,4967.503239,5453.378606,5973.325466,4469.961598,6267.185794,4906.212402,5139.903988,Q9UK53|Q9UK53-2|Q9UK53-4|Q9UK53-5|A0A0C4DFW2|A0A087WXF7,ING1
PG246364,sp|Q7Z7N9|T179B_HUMAN Transmembrane protein 179B OS=Homo sapiens GN=TMEM179B PE=1 SV=1,219,9.132,9.132,7.306,1,22,2,0,1,1,0,4.40E-29,1,1,3761.692112,4048.200345,4208.539224,2945.468005,3435.296279,3100.235511,3314.377179,6216.918475,2491.597068,3077.707094,Q7Z7N9,TMEM179B
PG247300,sp|P60604|UB2G2_HUMAN Ubiquitin-conjugating enzyme E2 G2 OS=Homo sapiens GN=UBE2G2 PE=1 SV=1,165,14.55,14.55,0,2,4,2,0,1,1,0,4.62E-29,1,1,33113.25927,30883.33217,25702.16763,24823.34919,28334.3836,24777.18962,28938.59461,26564.48952,27331.20627,26467.4505,P60604|P60604-2,UBE2G2
PG243051,sp|Q06136|KDSR_HUMAN 3-ketodihydrosphingosine reductase OS=Homo sapiens GN=KDSR PE=1 SV=1,332,8.133,8.133,0,2,4,2,0,1,1,0,5.89E-29,1,1,14701.61876,14384.42544,16546.08452,14164.83939,12528.18173,13494.94937,14281.83429,15726.9911,14504.76599,13346.71491,Q06136|K7ERC8,KDSR
PG254181,sp|Q9Y6Y0|NS1BP_HUMAN Influenza virus NS1A-binding protein OS=Homo sapiens GN=IVNS1ABP PE=1 SV=3,642,7.165,7.165,0,1,4,2,0,1,1,0,6.15E-29,1,1,3465.306101,2935.24517,2387.80408,3211.330217,2737.580457,3460.590821,2393.206251,3530.730533,4250.855811,4144.918295,Q9Y6Y0,IVNS1ABP
PG246684,sp|Q9BVT8|TMUB1_HUMAN Transmembrane and ubiquitin-like domain-containing protein 1 OS=Homo sapiens GN=TMUB1 PE=1 SV=1,246,8.943,8.943,0,3,11,2,0,1,1,0,6.30E-29,1,1,18617.23296,15990.55521,15766.33805,15149.97035,13950.11153,17175.59048,14865.04392,15700.04476,17738.22206,18171.24761,Q9BVT8|C9JE12|C9JCW7,TMUB1
PG248297,sp|P35612|ADDB_HUMAN Beta-adducin OS=Homo sapiens GN=ADD2 PE=1 SV=3,726,4.27,3.168,0,1,5,3,1,1,1,0,6.77E-29,1,1,3848.832153,3538.508933,3924.001611,3646.183895,3446.994217,3814.827785,4495.498857,3265.06491,4788.891538,4258.550567,P35612,ADD2
PG256234,sp|O95562|SFT2B_HUMAN Vesicle transport protein SFT2B OS=Homo sapiens GN=SFT2D2 PE=1 SV=1,160,6.875,6.875,6.25,2,12,2,0,1,1,0,6.88E-29,1,1,23348.80635,22412.64807,18201.72958,17928.7286,20019.57363,18986.83197,19224.95807,18931.81047,17233.3944,17998.70444,O95562|Q5TIH2,SFT2D2
PG244276,sp|P07196|NFL_HUMAN Neurofilament light polypeptide OS=Homo sapiens GN=NEFL PE=1 SV=3,543,3.683,2.026,0,1,12,2,1,2,2,1,8.83E-29,1,1,7348.722075,7323.698795,7296.509056,8293.648996,6346.050844,10663.38458,10174.77533,8574.668816,8890.253629,9134.23949,P07196,NEFL
PG252844,sp|P04921|GLPC_HUMAN Glycophorin-C OS=Homo sapiens GN=GYPC PE=1 SV=1,128,31.25,31.25,0,3,3,2,0,1,1,0,1.23E-28,1,1,5061.504773,7245.423949,18715.55737,17242.23876,15121.49836,12224.11847,14191.31711,18579.49071,13521.68998,14382.05556,P04921|P04921-2|P04921-3,GYPC
PG250383,sp|Q9UFF9|CNOT8_HUMAN CCR4-NOT transcription complex subunit 8 OS=Homo sapiens GN=CNOT8 PE=1 SV=1,292,8.562,8.562,0,4,3,2,0,1,1,0,1.35E-28,1,1,5725.399759,6969.219452,5063.41343,6937.612015,7380.230878,7179.439817,6179.833141,6709.231002,7302.538677,7153.480146,Q9UFF9|Q9UFF9-2|Q9UFF9-3|B7Z9U0,CNOT8
PG242506,sp|P24001-2|IL32_HUMAN Isoform 2 of Interleukin-32 OS=Homo sapiens GN=IL32,188,16.49,16.49,0,5,7,2,0,1,1,0,1.89E-28,1,1,6196.541538,6145.206363,9227.181126,7134.055542,6718.035627,7293.114974,6846.253776,7307.271467,7855.857893,6711.853989,P24001-2|P24001-3|P24001-4|P24001-6|C6GKH1,IL32
PG242545,sp|Q9NXR8|ING3_HUMAN Inhibitor of growth protein 3 OS=Homo sapiens GN=ING3 PE=1 SV=2,418,8.134,8.134,0,2,2,2,0,1,1,0,1.98E-28,1,1,4734.007202,4016.064997,3687.465862,4071.223265,4905.012365,3608.659859,3698.656911,4602.887836,4817.521206,5552.103774,Q9NXR8|E7ET07,ING3
PG243899,sp|Q7L1T6|NB5R4_HUMAN Cytochrome b5 reductase 4 OS=Homo sapiens GN=CYB5R4 PE=1 SV=1,521,6.142,6.142,0,1,3,2,0,1,1,0,2.32E-28,1,1,6287.481776,6053.329608,5854.240976,5824.043539,5659.586249,5960.444469,5707.926549,5802.822984,4747.973123,4668.269059,Q7L1T6,CYB5R4
PG243524,sp|Q9C0E8-4|LNP_HUMAN Isoform 4 of Protein lunapark OS=Homo sapiens GN=LNP,459,6.754,6.754,0,4,7,2,0,1,1,0,2.68E-28,1,1,12950.2556,14473.40913,12333.3953,13291.92922,10154.80364,14789.09746,13610.06917,12902.30636,13874.55103,11066.49255,Q9C0E8|Q9C0E8-2|Q9C0E8-3|Q9C0E8-4,LNP
PG244336,sp|Q86UT6|NLRX1_HUMAN NLR family member X1 OS=Homo sapiens GN=NLRX1 PE=1 SV=1,975,2.051,2.051,0,2,6,2,0,1,1,0,3.48E-28,1,1,50193.12885,48142.17109,40490.81772,41736.14701,39941.84985,45049.84983,41006.12665,39770.90295,45006.86272,47712.81263,Q86UT6|Q86UT6-2,NLRX1
PG246056,sp|Q86XZ4|SPAS2_HUMAN Spermatogenesis-associated serine-rich protein 2 OS=Homo sapiens GN=SPATS2 PE=1 SV=1,545,6.055,6.055,0,2,5,2,0,1,1,0,3.69E-28,1,1,4986.346525,4523.325474,5574.453801,5321.60308,4832.700563,4689.216906,4629.266776,5054.071599,6725.339284,6147.02707,Q86XZ4|F8VS10,SPATS2
PG255479,sp|O15318|RPC7_HUMAN DNA-directed RNA polymerase III subunit RPC7 OS=Homo sapiens GN=POLR3G PE=1 SV=2,223,16.59,16.59,0,5,2,2,0,1,1,0,3.90E-28,1,1,7344.38749,7897.496409,7461.088815,7961.262984,7209.436895,6879.056525,7630.038358,5777.456067,6565.783015,7262.587827,O15318|D6R9U7|D6R921|D6RJH6|D6RIT0,POLR3G
PG253737,sp|Q8N8R3|MCATL_HUMAN Mitochondrial basic amino acids transporter OS=Homo sapiens GN=SLC25A29 PE=1 SV=2,303,8.581,8.581,0,3,3,2,0,1,1,0,4.65E-28,1,1,2137.830386,1905.43651,2096.422329,2109.603302,2323.609438,1568.893204,2524.649365,2714.78248,2649.622521,2380.333131,Q8N8R3|Q8N8R3-3|G3V5F4,SLC25A29
PG246714,sp|Q9BSI4|TINF2_HUMAN TERF1-interacting nuclear factor 2 OS=Homo sapiens GN=TINF2 PE=1 SV=1,451,5.322,5.322,0,2,2,2,0,1,1,0,5.12E-28,1,1,25476.81696,28243.6639,28294.66485,35405.59957,29000.60225,34351.98022,31625.69617,33706.13787,29888.34309,34243.54354,Q9BSI4|Q9BSI4-2,TINF2
PG242347,sp|Q12894-2|IFRD2_HUMAN Isoform 2 of Interferon-related developmental regulator 2 OS=Homo sapiens GN=IFRD2,608,5.757,5.757,0,1,5,3,0,1,1,0,5.39E-28,1,1,20922.30664,19485.81994,18740.65209,19555.58673,20286.4409,21309.43986,20329.7674,18361.7743,18626.41344,21869.02329,Q12894-2,IFRD2
PG246420,sp|Q9BVV6-3|TALD3_HUMAN Isoform 3 of Protein TALPID3 OS=Homo sapiens GN=KIAA0586,1644,1.825,1.825,0,5,3,2,0,1,1,0,7.02E-28,1,1,3564.998057,2102.030775,3553.101509,3394.599492,13747.10193,14728.31782,13949.01791,14788.82076,16122.49085,15548.87707,Q9BVV6|Q9BVV6-2|Q9BVV6-3|Q9BVV6-4|A0A087WYM5,KIAA0586
PG245396,sp|A1A4S6|RHG10_HUMAN Rho GTPase-activating protein 10 OS=Homo sapiens GN=ARHGAP10 PE=1 SV=1,786,3.435,3.435,0,1,2,2,0,1,1,0,7.05E-28,1,1,8842.463303,10134.55298,10744.3259,10951.01403,9290.103464,8088.060021,9352.14012,10098.55878,10311.20414,8101.597577,A1A4S6,ARHGAP10
PG256185,sp|Q99470|SDF2_HUMAN Stromal cell-derived factor 2 OS=Homo sapiens GN=SDF2 PE=1 SV=2,211,10.43,10.43,0,1,6,3,0,1,1,0,7.08E-28,1,1,2136.262866,1911.586993,2270.223633,2000.218728,1260.23402,2079.616484,1587.765244,1641.278421,1616.183616,1505.431944,Q99470,SDF2
PG256814,sp|Q969M3-3|YIPF5_HUMAN Isoform 3 of Protein YIPF5 OS=Homo sapiens GN=YIPF5,265,7.925,7.925,0,2,7,2,0,1,1,0,7.55E-28,1,1,13524.3768,13310.9919,12791.57653,11264.33289,10927.08166,14290.83798,12589.73069,13521.3611,13099.84833,13307.23692,Q969M3|Q969M3-3,YIPF5
PG252472,sp|Q68CZ1|FTM_HUMAN Protein fantom OS=Homo sapiens GN=RPGRIP1L PE=1 SV=2,1315,1.521,1.065,0,6,3,2,1,1,1,0,8.49E-28,1,1,7977.207359,5756.045102,7974.414911,7717.197189,6695.279722,7980.034662,6393.28346,6302.517085,6103.271352,7756.624716,Q68CZ1|Q68CZ1-2|H3BV03|A0A087WX34|H3BS47|H3BPF5,RPGRIP1L
PG256417,sp|P36956-4|SRBP1_HUMAN Isoform 4 of Sterol regulatory element-binding protein 1 OS=Homo sapiens GN=SREBF1,1177,3.738,2.804,0,8,3,3,1,2,2,1,9.79E-28,1,1,4682.300725,4323.16258,5995.908846,11731.38409,5959.641454,9042.551658,6821.541284,9476.87164,5948.38594,7901.486548,P36956|P36956-2|P36956-3|P36956-4|P36956-5|P36956-6|B5MD58|X6RBE4,SREBF1
PG256996,sp|Q9Y6M5|ZNT1_HUMAN Zinc transporter 1 OS=Homo sapiens GN=SLC30A1 PE=1 SV=3,507,5.523,5.523,0,1,2,2,0,1,1,0,1.02E-27,1,1,3937.210414,3939.071631,6352.621886,7267.20685,5434.189086,4729.131796,4977.176591,4537.687922,4030.002682,4524.68642,Q9Y6M5,SLC30A1
PG250149,sp|P15882|CHIN_HUMAN N-chimaerin OS=Homo sapiens GN=CHN1 PE=1 SV=3,459,6.1,6.1,0,2,3,2,0,1,1,0,1.11E-27,1,1,4818.283313,5028.926494,5650.897846,4042.668376,4151.142952,5218.152208,4694.581098,4273.817697,5593.600113,4626.579297,P15882|P15882-2,CHN1
PG253606,sp|Q6UB28|MAP12_HUMAN Methionine aminopeptidase 1D; mitochondrial OS=Homo sapiens GN=METAP1D PE=1 SV=1,335,8.06,8.06,0,1,4,2,0,1,1,0,1.25E-27,1,1,6087.483512,6778.684161,6726.288635,5391.2298,6202.625113,5751.197432,5671.481869,5661.916121,6260.647891,5713.442126,Q6UB28,METAP1D
PG252730,sp|Q68CQ7|GL8D1_HUMAN Glycosyltransferase 8 domain-containing protein 1 OS=Homo sapiens GN=GLT8D1 PE=1 SV=2,371,6.469,6.469,0,1,2,2,0,1,1,0,1.37E-27,1,1,5336.156632,7906.123925,6624.484557,5657.647211,6799.950011,6654.798289,7057.719862,5852.72022,6191.866227,6198.972847,Q68CQ7,GLT8D1
PG251853,sp|Q6IAN0|DRS7B_HUMAN Dehydrogenase/reductase SDR family member 7B OS=Homo sapiens GN=DHRS7B PE=1 SV=2,325,7.077,7.077,0,3,3,2,0,1,1,0,1.55E-27,1,1,7337.910184,6212.72967,6639.660899,7098.984897,6450.688282,8448.110617,5954.204347,8411.894913,7110.565172,5837.625448,Q6IAN0|J3KRS1|A0A0C4DGQ8,DHRS7B
PG245334,sp|Q8NDN9|RCBT1_HUMAN RCC1 and BTB domain-containing protein 1 OS=Homo sapiens GN=RCBTB1 PE=2 SV=1,531,4.52,4.52,0,1,4,2,0,1,1,0,1.74E-27,1,1,8124.612766,6607.793151,6199.319849,6222.318114,6790.143458,6461.157837,6756.692695,7020.035458,6305.063413,6456.352277,Q8NDN9,RCBTB1
PG249899,sp|P24863|CCNC_HUMAN Cyclin-C OS=Homo sapiens GN=CCNC PE=1 SV=2,283,8.481,8.481,0,6,3,2,0,1,1,0,2.27E-27,1,1,16972.77214,17011.22396,16762.4082,15610.28611,16109.15367,14542.17349,12157.61526,14266.24107,17112.44105,16382.38162,P24863|E5RFK5|G5E954|H0YBQ5|J3KP90|E5RI39,CCNC
PG250241,sp|Q96BP2|CHCH1_HUMAN Coiled-coil-helix-coiled-coil-helix domain-containing protein 1 OS=Homo sapiens GN=CHCHD1 PE=1 SV=1,118,25.42,25.42,0,1,4,2,0,1,1,0,3.01E-27,1,1,6012.874697,5976.122759,6028.856304,6408.829488,5783.158454,5337.550603,5849.893664,4927.212529,4704.158866,6291.15907,Q96BP2,CHCHD1
PG245154,sp|O14966|RAB7L_HUMAN Ras-related protein Rab-7L1 OS=Homo sapiens GN=RAB29 PE=1 SV=1,203,13.3,13.3,0,1,2,2,0,1,1,0,3.73E-27,1,1,21445.32443,20016.02078,22030.78802,18116.1229,19085.35912,18303.12107,19580.2299,18695.06585,19087.32879,19273.24392,O14966,RAB29
PG243641,sp|Q9NZB8-8|MOCS1_HUMAN Isoform 8 of Molybdenum cofactor biosynthesis protein 1 OS=Homo sapiens GN=MOCS1,636,3.774,3.774,0,4,2,2,0,1,1,0,4.22E-27,1,1,5653.312954,6156.959055,6225.375242,5607.140896,5871.762102,6880.736463,5603.37926,5640.26709,6303.537545,5774.640285,Q9NZB8|Q9NZB8-2|Q9NZB8-7|Q9NZB8-8,MOCS1
PG248922,sp|Q9NWL6|ASND1_HUMAN Asparagine synthetase domain-containing protein 1 OS=Homo sapiens GN=ASNSD1 PE=2 SV=2,643,6.065,6.065,0,2,2,2,0,1,1,0,4.43E-27,1,1,6486.273178,7239.006623,6152.506456,7999.717612,5730.810486,7903.882526,6687.38993,7515.238397,8584.696916,5820.419316,Q9NWL6|C9IYZ1,ASNSD1
PG250690,sp|O43310-2|CTIF_HUMAN Isoform 2 of CBP80/20-dependent translation initiation factor OS=Homo sapiens GN=CTIF,600,5.833,5.833,0,2,3,3,0,1,1,0,4.82E-27,1,1,5952.987546,7674.935108,6851.854946,8692.692492,5780.923155,6619.447331,6817.0924,8310.159563,5993.271169,8197.076659,O43310|O43310-2,CTIF
PG243485,sp|P62310|LSM3_HUMAN U6 snRNA-associated Sm-like protein LSm3 OS=Homo sapiens GN=LSM3 PE=1 SV=2,102,19.61,19.61,0,1,10,2,0,1,1,0,7.15E-27,1,1,16107.02977,17589.39117,13551.82651,14454.29249,13931.29338,13893.08211,14280.37366,14394.52935,13438.58581,13463.1251,P62310,LSM3
PG248945,sp|P54710-2|ATNG_HUMAN Isoform 2 of Sodium/potassium-transporting ATPase subunit gamma OS=Homo sapiens GN=FXYD2,64,34.38,34.38,0,1,7,2,0,1,1,0,1.11E-26,1,1,14512.64518,13972.31517,8617.358032,12715.76638,13018.10185,10371.76531,11201.66517,12648.68809,10341.19287,9596.384454,P54710-2,FXYD2
PG254974,sp|Q8IV08|PLD3_HUMAN Phospholipase D3 OS=Homo sapiens GN=PLD3 PE=1 SV=1,490,3.878,3.878,0,1,3,2,0,1,1,0,1.16E-26,1,1,14361.61839,15095.98502,13202.60993,13229.63442,13642.48813,11975.12761,12770.95734,14822.24488,13966.42138,12007.71463,Q8IV08,PLD3
PG259854,tr|A0A024R0Y4|A0A024R0Y4_HUMAN Transcriptional adapter 2-alpha OS=Homo sapiens GN=TADA2L PE=1 SV=1,443,6.998,6.998,0,2,4,2,0,1,1,0,1.23E-26,1,1,2519.505459,3078.21656,2081.33678,2788.301958,1799.757558,2195.556554,2322.534413,3380.477833,1929.612438,2046.912417,A0A087WWR4|A0A024R0Y4,TADA2A|TADA2L
PG246886,sp|Q9Y3A6|TMED5_HUMAN Transmembrane emp24 domain-containing protein 5 OS=Homo sapiens GN=TMED5 PE=1 SV=1,229,9.607,9.607,0,1,5,2,0,1,1,0,1.36E-26,1,1,11728.95213,11776.77738,10553.48456,10736.44665,7796.454801,9960.592282,9771.024957,9922.246958,7668.75529,9491.726488,Q9Y3A6,TMED5
PG242586,sp|P52333|JAK3_HUMAN Tyrosine-protein kinase JAK3 OS=Homo sapiens GN=JAK3 PE=1 SV=2,1124,3.381,3.381,0,2,3,2,0,2,2,0,1.41E-26,1,1,6010.395098,6488.650835,7099.128883,6031.931768,7032.827959,6656.078305,6032.32324,6632.508897,7175.595014,7181.3677,P52333|P52333-2,JAK3
PG251666,sp|Q8NDZ4|DIA1_HUMAN Deleted in autism protein 1 OS=Homo sapiens GN=C3orf58 PE=1 SV=1,430,5.349,5.349,0,1,2,2,0,1,1,0,2.42E-26,1,1,26304.01227,24942.45466,21758.33335,24845.28362,22770.93259,23607.57329,21023.91275,22073.82026,23027.96799,22520.69546,Q8NDZ4,C3orf58
PG250468,sp|Q9Y2Z9|COQ6_HUMAN Ubiquinone biosynthesis monooxygenase COQ6; mitochondrial OS=Homo sapiens GN=COQ6 PE=1 SV=2,468,4.274,4.274,0,2,3,2,0,1,1,0,2.68E-26,1,1,12803.13421,14782.11546,14904.63073,15647.77689,12626.5313,18383.96558,15320.32251,15442.44476,16386.81582,19200.51301,Q9Y2Z9|Q9Y2Z9-3,COQ6
