Protein Group Name	Representative Protein Description	Total Amino Acids	Sequence Coverage (%)	Sequence Coverage Unshared only (%)	Sequence Redundancy (%)	Numbers of Proteins	# of PSMs	# of Unique Peptides	# Shared Peptides	# PSMs in Experiment	# Unique Seq in Experiment	# Shared Peptides in Experiment	P-Score	# Quantified PSMs	# Quantified Peptides	_Env_0Min_(TMT 127C PCN)	_Env_0Min_(TMT 128N PCN)	_Env_5Min_(TMT 129C PCN)	_Env_5Min_(TMT 130N PCN)	_Genome_5Min_(TMT 130C PCN)	_Genome_5Min_(TMT 131N PCN)	Uniprot IDs	Gene Names	Uniprot	tmpSum	0min_1	0min_2	5min_1	5min_2	mean0min	mean5min	log05	pVal05	qVal05
PG256599	sp|Q9Y277|VDAC3_HUMAN Voltage-dependent anion-selective channel protein 3 OS=Homo sapiens GN=VDAC3 PE=1 SV=1	283	62.9	57.24	4.594	1	74	14	2	9	7	1	5.85e-193	7	6	101654.5063	105247.1116	93686.98786	88930.08807	84620.82848	84236.48943	Q9Y277	VDAC3	Q9Y277	381227.77543	99466.0430375	100161.3031475	91526.55693749999	89594.920485	99813.6730925	90560.73871124999	-0.14035173196633546	0.0643267503494792	0.157802449786092
PG249975	sp|Q9BXW7|CECR5_HUMAN Cat eye syndrome critical region protein 5 OS=Homo sapiens GN=CECR5 PE=1 SV=1	423	37.35	37.35	0.0	2	34	10	0	7	6	0	4.75e-148	7	6	100174.4738	95811.07034	82782.02373	91256.71383	91790.76658	93220.84564	Q9BXW7|Q9BXW7-2	CECR5	Q9BXW7	381126.66636999993	103030.329375	96598.107885	90883.355775	91630.9993275	99814.21863	91257.17755125	-0.1293073094149054	0.109764309373402	0.195993300096131
PG247489	sp|Q15819|UB2V2_HUMAN Ubiquitin-conjugating enzyme E2 variant 2 OS=Homo sapiens GN=UBE2V2 PE=1 SV=4	145	72.41	33.1	13.1	1	30	11	6	7	5	2	1.3600000000000001e-133	4	3	79691.7812	83526.1301	89947.51882	92395.27731	88850.38336	95045.60061	Q15819	UBE2V2	Q15819	380659.80786	85683.2920475	99283.8089575	90123.877825	106672.283	92483.5505025	98398.0804125	0.08943338630603746	0.504766465235486	0.398598912557431
PG247144	tr|F2Z2W7|F2Z2W7_HUMAN tRNA (uracil-5-)-methyltransferase homolog A OS=Homo sapiens GN=TRMT2A PE=1 SV=1	643	45.1	45.1	4.821	2	50	23	0	11	11	0	5.76672736483e-313	11	11	89884.8656	109669.9742	96539.37205	90084.9334	93161.363	92089.35439	Q8IZ69|F2Z2W7	TRMT2A	F2Z2W7	380055.19919	94114.139655	92152.5220425	100716.31474	92354.1369975	93133.33084875	96535.22586875	0.05175790391183949	0.512251639143858	0.400921791370062
PG245395	sp|Q07960|RHG01_HUMAN Rho GTPase-activating protein 1 OS=Homo sapiens GN=ARHGAP1 PE=1 SV=1	439	36.45	36.45	2.506	1	59	13	0	5	5	0	1.4099999999999999e-188	5	5	99666.59915	90271.90976	88501.49842	92728.48249	92041.79904	95040.14133	Q07960	ARHGAP1	Q07960	380039.82189	92634.13489	95279.8857325	93031.848385	99399.48301	93957.01031125	96215.6656975	0.03427100278742878	0.635922806141439	0.444669818767707
PG246792	sp|P23381|SYWC_HUMAN Tryptophan--tRNA ligase; cytoplasmic OS=Homo sapiens GN=WARS PE=1 SV=2	471	51.8	51.8	11.04	1	51	20	0	13	10	0	1.35e-280	13	10	100369.379	92086.57643	95242.81359	91689.66317	88492.63392	92516.29742	P23381	WARS	P23381	379990.61503000004	93408.3271	93255.80344	92440.7349725	101905.897115	93332.06526999999	97173.31604375	0.058187381545308024	0.480626828963863	0.389293861194045
PG251388	sp|Q9BTE7|DCNL5_HUMAN DCN1-like protein 5 OS=Homo sapiens GN=DCUN1D5 PE=1 SV=1	237	26.16	23.21	6.751	1	12	7	1	3	3	0	2.97e-86	3	3	95502.66731	97278.53275	95388.46201	88910.53679	92882.478	94071.30173	Q9BTE7	DCUN1D5	Q9BTE7	379608.48932	96113.17643749999	97107.954845	96053.5675025	90531.8382575	96610.56564125	93292.70288	-0.05041673392367232	0.461985387037671	0.381285956251291
PG242553	sp|Q68E01|INT3_HUMAN Integrator complex subunit 3 OS=Homo sapiens GN=INTS3 PE=1 SV=1	1043	23.68	23.68	2.109	2	56	20	0	7	6	0	5.239999999999999e-285	7	6	101917.9854	100823.607	97360.42661	98751.46804	106852.9164	105755.9677	Q68E01|Q68E01-2	INTS3	Q68E01	379603.56295	84095.76494749999	87667.909165	102881.721125	104763.921175	85881.83705624999	103822.82115	0.2736986387236114	0.0081471920033618	0.0756385508216982
PG251985	sp|Q8N766|EMC1_HUMAN ER membrane protein complex subunit 1 OS=Homo sapiens GN=EMC1 PE=1 SV=1	993	32.23	32.23	3.424	3	64	25	0	13	12	0	0.0	13	12	82078.50556	101886.5394	97996.14125	95111.27822	90696.53265	96566.53343	Q8N766|Q8N766-2|Q8N766-3	EMC1	Q8N766	379581.77268000005	96259.938075	90349.57157	99320.606075	93678.5264575	93304.75482249999	96499.56626625001	0.048571855078282954	0.521910635273561	0.403766426225614
PG247961	sp|Q9NUQ8|ABCF3_HUMAN ATP-binding cassette sub-family F member 3 OS=Homo sapiens GN=ABCF3 PE=1 SV=2	709	21.02	21.02	0.0	2	34	12	0	7	7	0	1.02e-166	7	7	97583.6801	93724.09438	87608.11949	93267.7661	85534.92211	90162.8389	Q9NUQ8|Q9NUQ8-2	ABCF3	Q9NUQ8	379564.83121000003	96451.6927775	93123.059465	95557.4720425	94763.915415	94787.37612125	95160.69372874999	0.005670856828392504	0.925050139287778	0.523338630790517
PG253174	sp|Q4V328|GRAP1_HUMAN GRIP1-associated protein 1 OS=Homo sapiens GN=GRIPAP1 PE=1 SV=1	841	28.78	28.78	5.589	4	54	20	0	6	6	0	1.09e-254	6	6	95740.43509	95894.56519	86368.30304	94402.92139	80171.74096	90516.63617	Q4V328|Q4V328-4|A0A087WT45|A0A075B793	GRIPAP1	Q4V328	379493.58048999996	95052.21693	100105.6158575	88005.6229475	96259.938075	97578.91639375	92132.78051124999	-0.08285490898671284	0.322151951532015	0.319922712996708
PG255562	sp|Q92552-2|RT27_HUMAN Isoform 2 of 28S ribosomal protein S27; mitochondrial OS=Homo sapiens GN=MRPS27	428	42.29	42.29	6.075	2	41	15	0	7	6	0	6.82e-217	7	6	93465.5258	89830.91987	82068.07652	87467.63631	88320.17893	88985.43434	Q92552|Q92552-2	MRPS27	Q92552-2	379116.77267	97196.6786975	104812.6194	87360.8844425	90305.560375	101004.64904875	88833.22240875	-0.18525046817444327	0.0495346538586345	0.141892189926899
PG254604	sp|P53611|PGTB2_HUMAN Geranylgeranyl transferase type-2 subunit beta OS=Homo sapiens GN=RABGGTB PE=1 SV=2	331	18.73	18.73	2.417	1	15	6	0	6	5	0	6.54e-84	6	5	93022.59222	84353.80093	88113.65868	90773.44644	83023.49445	93770.79352	P53611	RABGGTB	P53611	379042.4411	97413.14469	98981.1734875	88667.8698575	94114.139655	98197.15908874999	91391.00475625001	-0.10362911330144979	0.17020903301395	0.236527372558781
PG246648	sp|Q96GM8|TOE1_HUMAN Target of EGR1 protein 1 OS=Homo sapiens GN=TOE1 PE=1 SV=1	510	23.92	23.92	2.941	1	42	11	0	3	3	0	1.3e-133	3	3	98923.95504	92931.44746	94858.22287	92524.2576	91927.35259	90332.33242	Q96GM8	TOE1	Q96GM8	378917.69941	99600.71111	100049.3858975	90305.560375	88392.69578000001	99825.04850375	89349.1280775	-0.1599482171960385	0.0436563104021217	0.136115349055596
PG247002	sp|Q8WWH5|TRUB1_HUMAN Probable tRNA pseudouridine synthase 1 OS=Homo sapiens GN=TRUB1 PE=1 SV=1	349	26.65	26.65	0.0	1	13	8	0	5	5	0	2.31e-113	5	5	90279.9662	92816.78405	87053.13897	95021.98258	89463.90938	93821.01544	Q8WWH5	TRUB1	Q8WWH5	378741.73947	95713.9760675	96744.22749	91405.1767675	95187.09663	96229.10177875	93296.13669875	-0.04465592069072285	0.49134991438928	0.393268757490794
PG246452	sp|P04053|TDT_HUMAN DNA nucleotidylexotransferase OS=Homo sapiens GN=DNTT PE=1 SV=3	509	21.61	21.61	4.126	2	38	11	0	6	6	0	7.49e-145	6	6	80475.26829	97966.89779	84754.16367	89225.28629	95735.03122	95935.17116	P04053|P04053-2	DNTT	P04053	378713.59611	97599.4713475	98032.498935	100105.6158575	82696.569755	97815.98514125	91401.09280625	-0.09785883596704718	0.382914290627396	0.347509598713635
PG251377	sp|P16930|FAAA_HUMAN Fumarylacetoacetase OS=Homo sapiens GN=FAH PE=1 SV=2	419	23.15	23.15	0.0	1	27	8	0	4	4	0	1.8799999999999998e-111	4	4	88326.20245	81772.09494	89677.49643	96446.64971	99268.49836	102886.0667	P16930	FAH	P16930	378566.98243	95735.083785	92541.7278575	88212.2677725	102411.89595	94138.40582125	95312.08186125	0.017875681251911506	0.886202037073606	0.514271673190467
PG242699	sp|Q9UL03|INT6_HUMAN Integrator complex subunit 6 OS=Homo sapiens GN=INTS6 PE=1 SV=1	887	12.85	12.85	0.9019	2	15	9	0	2	2	0	1.23e-113	2	2	88599.63727	100598.5355	103937.9624	106591.1816	111141.5048	96077.77461	Q9UL03|Q9UL03-3	INTS6	Q9UL03	378532.06235	97553.92756499999	91946.44314	101905.897115	86420.32741	94750.1853525	94163.1122625	-0.008966760654610209	0.901996029771326	0.517918250641085
PG262335	tr|H0Y2W2|H0Y2W2_HUMAN ATPase family AAA domain-containing protein 3A (Fragment) OS=Homo sapiens GN=ATAD3A PE=1 SV=1	572	47.9	22.03	9.615	1	93	29	18	18	15	8	0.0	9	7	101672.22	95810.90271	90464.98432	93960.50577	85074.41192	90102.47722	H0Y2W2	ATAD3A	H0Y2W2	378381.46841	107297.6918	93892.8996575	93222.636245	84622.8513275	100595.29572875	88922.74378625001	-0.1779384703225499	0.136805378474092	0.214906913399005
PG247813	sp|Q69YN4|VIR_HUMAN Protein virilizer homolog OS=Homo sapiens GN=KIAA1429 PE=1 SV=2	1812	16.34	16.34	3.035	1	103	25	0	8	8	0	0.0	8	8	91780.22878	89115.02336	92866.76161	95238.52963	91990.4971	99017.56876	Q69YN4	KIAA1429	Q69YN4	377138.75715	94748.12364	99907.57548	89424.29812749999	93338.1375675	97327.84956	91381.2178475	-0.0909550097161477	0.2298408807142	0.269024093168021
PG246966	sp|P62072|TIM10_HUMAN Mitochondrial import inner membrane translocase subunit Tim10 OS=Homo sapiens GN=TIMM10 PE=1 SV=1	90	68.89	68.89	16.67	1	21	7	0	3	3	0	5.43e-90	3	3	88443.19636	83759.49383	84759.92008	76890.83403	84298.96028	79372.35462	P62072	TIMM10	P62072	377087.36518	104439.21225	94662.0030375	88584.0376225	89570.3583925	99550.60764375	89077.1980075	-0.16037394424691337	0.0909710135166224	0.180932550061799
PG256777	sp|O94888|UBXN7_HUMAN UBX domain-containing protein 7 OS=Homo sapiens GN=UBXN7 PE=1 SV=2	489	32.52	31.29	8.18	1	62	14	1	8	7	0	2.71e-199	8	7	90559.11684	92381.35454	84781.44182	89532.14321	87883.72385	98979.89419	O94888	UBXN7	O94888	376325.27519	97849.93142	94748.12364	90349.57157	94037.772425	96299.02752999999	92193.6719975	-0.06285349902882068	0.359304758570695	0.337803885870528
PG246479	sp|P23193|TCEA1_HUMAN Transcription elongation factor A protein 1 OS=Homo sapiens GN=TCEA1 PE=1 SV=2	301	61.13	61.13	30.23	1	205	25	0	7	7	0	0.0	7	7	98834.4533	86823.07878	90722.69234	92967.16962	96198.12437	101312.2771	P23193	TCEA1	P23193	376023.24301	93123.059465	95825.31339	91805.9325075	95250.791365	94474.1864275	93528.36193625	-0.014516269351731354	0.820665361401011	0.496469634064344
PG244308	sp|P18615|NELFE_HUMAN Negative elongation factor E OS=Homo sapiens GN=NELFE PE=1 SV=3	380	52.11	50.26	18.16	1	131	22	1	6	5	0	4.41e-283	6	5	79448.08492	82530.05013	91580.3241	97168.77237	86405.09163	98120.55342	P18615	NELFE	P18615	375862.18178	87797.0374575	86314.696975	95894.25797	106444.35815	87055.86721625	101169.30806000001	0.2167582449366482	0.0418011227876049	0.134918414225989
PG249077	tr|F8VYN9|F8VYN9_HUMAN ADP-ribosylation factor-like protein 1 OS=Homo sapiens GN=ARL1 PE=1 SV=1	194	36.6	36.6	18.56	3	20	8	0	4	4	0	2.43e-121	4	4	101386.4245	98790.90442	92773.23254	86941.19767	87157.47381	96990.31384	P40616|P40616-2|F8VYN9	ARL1	F8VYN9	375825.22737000004	95187.09663	91899.5927125	95425.0250525	93255.80344	93543.34467125	94340.41424625	0.012240922030048331	0.845746033981974	0.503006373909376
PG252372	sp|Q9NSI2|F207A_HUMAN Protein FAM207A OS=Homo sapiens GN=FAM207A PE=1 SV=2	230	47.83	47.83	10.0	1	27	12	0	7	6	0	6.71e-141	7	6	82987.54447	101315.2632	97236.06048	98213.78793	104569.9687	100369.8221	Q9NSI2	FAM207A	Q9NSI2	375383.88211	96744.22749	90917.02994000001	99399.48301	87900.0225475	93830.628715	93649.75277875	-0.0027837461725592517	0.958346453636805	0.5318345594645
PG246532	tr|A0A140TA35|A0A140TA35_HUMAN Valine--tRNA ligase; mitochondrial OS=Homo sapiens GN=VARS2 PE=1 SV=1	1093	11.07	11.07	0.0	12	22	10	0	5	5	0	1.72e-134	5	5	86730.60183	83906.34867	87014.19576	92947.0756	86645.30029	88376.18921	Q5ST30|Q5ST30-4|A0A0G2JL52|B4E0K6|B7ZL25|A0A0A0MTG1|A0A140TA40|A0A140T8Y0|A0A140TA36|A0A0G2JIA5|A0A140TA35|A0A140TA45	VARS2	A0A140TA35	375317.77443	101697.799725	94831.42942	89570.3583925	89486.14352499999	98264.6145725	89528.25095875	-0.13432898882808728	0.104788825628781	0.192708373154209
PG255426	sp|Q9H9Y2|RPF1_HUMAN Ribosome production factor 1 OS=Homo sapiens GN=RPF1 PE=1 SV=2	349	33.81	33.81	2.579	1	16	11	0	9	9	0	1.62e-143	9	9	75102.8411	104882.2339	94040.66144	94991.51064	92414.36043	97404.34289	Q9H9Y2	RPF1	Q9H9Y2	375267.25573000003	83307.60286	92354.1369975	105131.7634	94561.649785	87830.86992875	99846.7065925	0.1849867485516401	0.10419288250672	0.192352188748718
PG250899	sp|Q6FI81|CPIN1_HUMAN Anamorsin OS=Homo sapiens GN=CIAPIN1 PE=1 SV=2	312	43.91	43.91	11.22	1	65	14	0	8	8	0	9.36e-204	8	8	94962.97514	86452.60076	87580.77616	95775.92793	100896.4337	105813.5665	Q6FI81	CIAPIN1	Q6FI81	375215.50338	91805.9325075	93607.03395750001	88392.69578000001	101469.76185000001	92706.4832325	94931.22881500001	0.0342125236866193	0.741054384149029	0.474266682321761
PG252021	sp|P15170-3|ERF3A_HUMAN Isoform 3 of Eukaryotic peptide chain release factor GTP-binding subunit ERF3A OS=Homo sapiens GN=GSPT1	637	47.57	26.06	21.82	2	130	33	17	23	17	9	0.0	8	8	97002.02906	83494.92431	88880.26452	83342.44179	85132.36589	93902.11925	P15170-2|P15170-3	GSPT1	P15170-3	375160.36691000004	99079.4550375	93003.87224	89401.9484375	93825.1801525	96041.66363875	91613.564295	-0.06809917480636386	0.371312266803456	0.341890180328841
PG250583	sp|P51798|CLCN7_HUMAN H(+)/Cl(-) exchange transporter 7 OS=Homo sapiens GN=CLCN7 PE=1 SV=2	805	8.82	8.82	1.491	2	18	8	0	6	6	0	2.84e-96	6	6	96594.34981	105481.4086	98343.08332	92430.9811	89778.05602	96035.18119	P51798|P51798-2	CLCN7	P51798	375007.34076	87219.2092175	93278.9560075	98293.511435	96367.05541999999	90249.0826125	97330.28342749999	0.10897648923041135	0.163041231617812	0.232403709046397
PG252585	sp|P51116|FXR2_HUMAN Fragile X mental retardation syndrome-related protein 2 OS=Homo sapiens GN=FXR2 PE=1 SV=2	673	47.55	45.17	16.79	1	85	26	3	10	10	2	0.0	8	8	91775.39359	94173.81552	89411.31394	86865.78473	90911.43226	95655.23843	P51116	FXR2	P51116	374868.52843	94380.41285749999	90039.327225	95618.36335	94728.838655	92209.87004124999	95173.6010025	0.045640274769618225	0.488596393233619	0.3916301684268
PG255561	sp|P82914|RT15_HUMAN 28S ribosomal protein S15; mitochondrial OS=Homo sapiens GN=MRPS15 PE=1 SV=1	257	24.9	24.9	3.502	1	19	8	0	4	4	0	5.1999999999999994e-104	4	4	93614.3561	103747.2663	95029.45008	89654.94822	94751.37974	89042.01842	P82914	MRPS15	P82914	374726.54021	92354.1369975	87900.0225475	96900.16278	96451.6927775	90127.0797725	96675.92777874999	0.10119605824997821	0.165230565799871	0.233025203997041
PG252375	sp|Q14320|FA50A_HUMAN Protein FAM50A OS=Homo sapiens GN=FAM50A PE=1 SV=2	339	44.84	44.84	13.27	1	33	15	0	9	8	0	2.3e-185	9	8	83956.67773	87735.71615	82891.26494	90911.1048	83760.2108	99291.06657	Q14320	FAM50A	Q14320	374443.50151000003	90349.57157	94628.469515	84414.1549125	104439.21225	92489.0205425	94426.68358124999	0.029912489310805875	0.860743346578177	0.507644713448514
PG249147	sp|P51572-2|BAP31_HUMAN Isoform 2 of B-cell receptor-associated protein 31 OS=Homo sapiens GN=BCAP31	313	36.42	36.42	2.875	2	29	11	0	3	3	0	1.1000000000000001e-156	3	3	88966.67781	101458.6416	97889.78119	96714.34306	90273.97907	94009.75271	P51572|P51572-2	BCAP31	P51572-2	374422.10449	94314.2069275	88138.9032475	101797.1977125	89229.03977	91226.55508749999	95513.11874125	0.06624506231318485	0.517217887177922	0.40190659697768
PG246543	sp|Q969Z0|TBRG4_HUMAN Protein TBRG4 OS=Homo sapiens GN=TBRG4 PE=1 SV=1	631	41.68	41.68	7.924	1	69	22	0	8	8	0	1.8e-304	8	8	93086.36541	85720.07984	93347.99289	94450.18923	93951.73577	90435.47062	Q969Z0	TBRG4	Q969Z0	373969.06752	107815.076525	98125.9286425	87198.86326	80672.7283875	102970.50258375	83935.79582375	-0.2948730069256317	0.0185922483319273	0.100092405608129
PG255278	sp|P40306|PSB10_HUMAN Proteasome subunit beta type-10 OS=Homo sapiens GN=PSMB10 PE=1 SV=1	273	31.87	31.87	0.0	1	16	6	0	4	3	0	2.2699999999999997e-95	4	3	99034.06472	87344.55556	94471.46602	90659.45249	95035.81243	94795.20337	P40306	PSMB10	P40306	373626.64542	92541.7278575	95453.5254975	92577.60272	93031.848385	93997.6266775	92804.7255525	-0.01842606274705862	0.768899341628874	0.482962064922976
PG257566	tr|V9HW75|V9HW75_HUMAN Epididymis secretory protein Li 109 OS=Homo sapiens GN=HEL-S-109 PE=1 SV=1	420	60.24	58.33	26.43	2	71	27	1	11	10	1	0.0	10	9	94230.81647	88672.59371	86896.20648	87101.70048	82144.55649	82706.07285	A0A087WSV8|V9HW75	NUCB2|HEL-S-109	V9HW75	373419.23014	85632.6461175	98402.42409	92505.66305999999	97289.6484875	92017.53510375001	94897.65577375	0.044463638121914735	0.62625141000305	0.442207074119904
PG253006	sp|P04899|GNAI2_HUMAN Guanine nucleotide-binding protein G(i) subunit alpha-2 OS=Homo sapiens GN=GNAI2 PE=1 SV=3	355	54.93	36.9	13.8	1	71	18	7	12	10	4	4.920000000000001e-252	7	6	87565.37816	82601.49346	89174.64179	92140.26642	84420.00332	84366.44094	P04899	GNAI2	P04899	372239.49211000005	94628.469515	90763.245665	95453.5254975	91946.44314	92695.85759	93699.98431875001	0.015543937578164935	0.814212246256423	0.495158778182454
PG253406	sp|O95372|LYPA2_HUMAN Acyl-protein thioesterase 2 OS=Homo sapiens GN=LYPLA2 PE=1 SV=1	231	33.77	33.77	0.0	1	21	6	0	5	4	0	1.99e-90	5	4	90466.79081	84702.57368	84385.15828	95257.09609	88606.85751	84697.00342	O95372	LYPLA2	O95372	372176.10747999995	81938.5803725	88888.3659275	95308.752245	106407.61715	85413.47315	100858.1846975	0.23979260009226397	0.0454119494405323	0.137213597894207
PG250558	sp|Q9BQ75|CMS1_HUMAN Protein CMSS1 OS=Homo sapiens GN=CMSS1 PE=1 SV=2	279	42.29	40.14	2.509	3	28	12	1	5	5	0	4.7e-162	5	5	84070.0102	95483.02708	93711.50702	87886.61523	93953.31021	98036.99025	Q9BQ75|Q9BQ75-2|C9J384	CMSS1	Q9BQ75	372020.05221	90998.2614575	90305.560375	99079.4550375	90998.2614575	90651.91091625	95038.8582475	0.06818007249055294	0.387344736714592	0.34947132253519
PG243594	sp|P27361|MK03_HUMAN Mitogen-activated protein kinase 3 OS=Homo sapiens GN=MAPK3 PE=1 SV=4	379	51.19	30.87	0.0	1	68	17	7	17	12	4	1.15e-220	10	8	80527.36419	82094.94666	88850.32828	95343.92892	87564.89284	96468.82391	P27361	MAPK3	P27361	371801.96653	86369.2576325	89570.3583925	93825.1801525	102573.48389999999	87969.8080125	98199.33202624999	0.1587047475684464	0.0900928739733278	0.180350401075653
PG254542	tr|A0A087X0V5|A0A087X0V5_HUMAN 2'-5'-oligoadenylate synthase 2 OS=Homo sapiens GN=OAS2 PE=1 SV=1	726	10.88	10.88	0.9642	3	14	8	1	4	4	0	1.69e-103	4	4	96906.58702	103797.9587	96348.52505	90546.23405	84977.24507	90840.80972	P29728|P29728-2|A0A087X0V5	OAS2	A0A087X0V5	371667.46418	98918.63912	92933.6399725	93678.5264575	85773.795675	95926.13954625	89726.16106625	-0.09639531150805328	0.267963042666199	0.291233202941422
PG251317	sp|Q06265-2|EXOS9_HUMAN Isoform 2 of Exosome complex component RRP45 OS=Homo sapiens GN=EXOSC9	456	31.36	31.36	0.0	2	25	10	0	4	4	0	2.8200000000000004e-156	4	4	94266.91949	83209.22912	95242.22372	95291.13864	88532.23113	89066.96121	Q06265|Q06265-2	EXOSC9	Q06265-2	371421.14378	97793.9521225	95713.9760675	87797.0374575	90655.70605000001	96753.964095	89226.37175375	-0.11685059471614531	0.113026299281327	0.198084034804789
PG254349	sp|Q8TAT6-2|NPL4_HUMAN Isoform 2 of Nuclear protein localization protein 4 homolog OS=Homo sapiens GN=NPLOC4	617	29.01	29.01	5.348	2	43	19	0	9	9	0	1.08e-265	9	9	89244.7386	93840.0951	94474.23997	94515.59548	94992.45721	96227.09264	Q8TAT6|Q8TAT6-2	NPLOC4	Q8TAT6-2	370377.58938	87002.81738	90123.877825	95117.53085750001	98957.320385	88563.3476025	97037.42562125	0.1318315211024068	0.09329454417827	0.183243601376047
PG256500	sp|P37108|SRP14_HUMAN Signal recognition particle 14 kDa protein OS=Homo sapiens GN=SRP14 PE=1 SV=2	136	48.53	48.53	22.06	1	31	9	0	5	4	0	6.35e-139	5	4	85864.72247	90306.17074	102649.8413	98876.10963	109646.3771	90152.76287	P37108	SRP14	P37108	370342.78669	96367.05541999999	86191.72186250001	103600.43035	83788.62767	91279.38864125	93694.52901	0.03767567984631131	0.815561309230057	0.495356483296404
PG250869	sp|Q9BQ61|CS043_HUMAN Uncharacterized protein C19orf43 OS=Homo sapiens GN=C19orf43 PE=1 SV=1	176	53.41	53.41	30.68	1	37	13	1	6	6	0	2.81e-171	6	6	111991.2499	96718.93895	103386.7625	87281.93383	110847.7632	100742.8353	Q9BQ61	C19orf43	Q9BQ61	370320.19765	70894.1277325	73311.104765	107641.94475	119889.955275	72102.61624875	113765.95001249999	0.6579453118454123	0.0006695501373274	0.019532600513476
PG249026	sp|Q8N3C0|ASCC3_HUMAN Activating signal cointegrator 1 complex subunit 3 OS=Homo sapiens GN=ASCC3 PE=1 SV=3	2202	11.63	11.63	1.045	1	42	24	0	7	7	0	0.0	7	7	85989.06368	96603.61133	90442.28922	92857.53354	93449.46054	89580.01993	Q8N3C0	ASCC3	Q8N3C0	370222.03942	95308.752245	92277.5592425	92298.0272825	90714.88196249999	93793.15574375	91506.4546225	-0.03560913964856274	0.577969344250226	0.424037589099492
PG253730	sp|Q9BRT3|MIEN1_HUMAN Migration and invasion enhancer 1 OS=Homo sapiens GN=MIEN1 PE=1 SV=1	115	33.04	33.04	6.957	1	16	5	0	4	4	0	1.39e-66	4	4	107197.3267	93099.95609	103187.1049	86367.36548	102497.2219	87607.62048	Q9BRT3	MIEN1	Q9BRT3	370087.61467	87879.40818500001	103030.329375	85449.5822825	94198.59756750001	95454.86878	89824.08992500001	-0.08771637246508196	0.464273150125184	0.382466435138359
PG254206	sp|Q96RS6|NUDC1_HUMAN NudC domain-containing protein 1 OS=Homo sapiens GN=NUDCD1 PE=1 SV=2	583	40.48	40.48	9.777	3	49	21	0	10	10	0	2.891184e-317	10	10	90788.2753	88559.26071	88442.22832	88453.97422	89459.49673	89056.06195	Q96RS6|Q96RS6-2|Q96RS6-3	NUDCD1	Q96RS6	369889.68821	98402.42409	95557.4720425	86691.6380425	89334.1202275	96979.94806625	88012.879135	-0.13997182894466398	0.0729862650901241	0.167375267452342
PG251161	sp|Q9UBQ5|EIF3K_HUMAN Eukaryotic translation initiation factor 3 subunit K OS=Homo sapiens GN=EIF3K PE=1 SV=1	218	61.01	61.01	11.93	1	65	11	0	8	7	0	8.35e-177	8	7	94026.37693	84698.9363	84211.05787	86831.48828	87045.75542	85222.3239	Q9UBQ5	EIF3K	Q9UBQ5	369798.92706	93267.88894	92219.966755	91996.05893	92505.66305999999	92743.9278475	92250.860995	-0.00769045216691413	0.898435717925868	0.517469721530864
PG249714	sp|Q16204|CCDC6_HUMAN Coiled-coil domain-containing protein 6 OS=Homo sapiens GN=CCDC6 PE=1 SV=2	474	43.46	43.46	19.62	1	74	21	0	6	6	0	1.38e-282	6	6	90628.93091	91463.55826	84190.12272	89077.54375	88190.61288	98725.20501	Q16204	CCDC6	Q16204	369552.73297	88584.0376225	86369.2576325	94266.9485275	101295.412195	87476.6476275	97781.18036125001	0.1606588879193872	0.069710942724991	0.163377654140255
PG249010	sp|P24539|AT5F1_HUMAN ATP synthase F(0) complex subunit B1; mitochondrial OS=Homo sapiens GN=ATP5F1 PE=1 SV=2	256	39.06	39.06	21.48	2	42	14	0	6	5	0	5.7600000000000006e-192	6	5	88640.59426	94879.91295	89684.48192	88328.21383	81432.99702	86164.08145	P24539|Q5QNZ2	ATP5F1	P24539	369522.92263000004	99907.57548	99466.0430375	85731.36917250001	83616.38816	99686.80925875	84673.87866625	-0.23548564092449104	0.0120107679847675	0.0851047173061423
PG248121	sp|O14561|ACPM_HUMAN Acyl carrier protein; mitochondrial OS=Homo sapiens GN=NDUFAB1 PE=1 SV=3	156	25.0	25.0	8.974	1	11	5	0	4	4	0	6.81e-70	4	4	105699.4451	107590.1873	82870.03747	84560.76206	81879.61821	74583.28018	O14561	NDUFAB1	O14561	369486.89664	100421.4646225	105783.52485	82800.848425	79295.6513175	103102.49473625	81048.24987125001	-0.34722630341459304	0.0043320682839721	0.058304827912723
PG251996	sp|Q96L91|EP400_HUMAN E1A-binding protein p400 OS=Homo sapiens GN=EP400 PE=1 SV=4	3159	10.38	10.38	0.918	4	74	25	0	8	7	0	0.0	8	7	79942.15933	101543.038	93350.56986	98358.06474	100988.6318	94417.98947	Q96L91|Q96L91-2|Q96L91-3|Q96L91-5	EP400	Q96L91	369370.87525000004	88293.27059	90432.6749975	100822.547375	90123.877825	89362.97279375	95473.2126	0.09541882567102707	0.296833031057667	0.307196283965494
PG251817	sp|Q96EY1|DNJA3_HUMAN DnaJ homolog subfamily A member 3; mitochondrial OS=Homo sapiens GN=DNAJA3 PE=1 SV=2	480	28.96	28.96	6.25	1	37	13	0	7	7	0	7.010000000000001e-185	7	7	95798.72098	95414.61799	85696.86803	86520.73111	83928.8641	87988.66646	Q96EY1	DNAJA3	Q96EY1	368902.84563	97680.14807	95894.25797	87900.0225475	87320.1757275	96787.20302	87610.0991375	-0.14371912614742183	0.0595647753399966	0.152488641776135
