Protein Group Name,Uniprot IDs,Representative Protein Description,Uniprot,Exp1 5 min log2 fold change,Exp1 5 min q-value,Exp1 60 min log2 fold change,Exp1 60 min q-value,Exp2 5 min log2 fold change,Exp2 5 min q-value,Exp2 60 min log2 fold change,Exp2 60 min q-value,Significant
PG248736,P04083,sp|P04083|ANXA1_HUMAN Annexin A1 OS=Homo sapiens GN=ANXA1 PE=1 SV=2,P04083,-0.03770248976752164,0.5449550118928,-0.16010415127467925,0.0576944985118614,0.11347160178398705,0.199476919013852,0.2894156478931446,0.147730462038948,False
PG250826,Q9HB71,sp|Q9HB71|CYBP_HUMAN Calcyclin-binding protein OS=Homo sapiens GN=CACYBP PE=1 SV=2,Q9HB71,-0.3199787993257855,0.0916138928020407,-0.981208827875608,0.0018006049359891,-0.1063528199585458,0.22600578265181,-0.10736999758217602,0.394608501665999,True
PG253399,P55145|A8K878,tr|A8K878|A8K878_HUMAN Mesencephalic astrocyte-derived neurotrophic factor OS=Homo sapiens GN=MANF PE=1 SV=1,A8K878,0.2166479730633249,0.106787732796459,0.40547882526897544,0.0047828280153169,-0.11166652767039151,0.32029645949116,-0.15259443121827432,0.228230672690233,False
PG248587,Q9NWB6,sp|Q9NWB6|ARGL1_HUMAN Arginine and glutamate-rich protein 1 OS=Homo sapiens GN=ARGLU1 PE=1 SV=1,Q9NWB6,0.09518946743616301,0.36826174165897,0.1701844427672381,0.0704751381548817,0.028436791591172572,0.463654958484883,0.33538023748578766,0.110151164951495,False
PG247778,O14980,sp|O14980|XPO1_HUMAN Exportin-1 OS=Homo sapiens GN=XPO1 PE=1 SV=1,O14980,0.0687496966429235,0.396898562439309,0.34989941945809044,0.0061284574411854,-0.09826103631250557,0.233537495514046,-0.15326901813244004,0.236088758148401,False
PG256173,Q8WYJ6|J3KNL2,tr|J3KNL2|J3KNL2_HUMAN Septin-1 OS=Homo sapiens GN=SEPT1 PE=1 SV=2,J3KNL2,-0.07384132295204211,0.350125424795921,-0.13817323699304984,0.063988953840679,-0.08973383456286166,0.265223200008822,-0.05176375847647085,0.561641377956613,False
PG242252,P49773,sp|P49773|HINT1_HUMAN Histidine triad nucleotide-binding protein 1 OS=Homo sapiens GN=HINT1 PE=1 SV=2,P49773,-0.18204429650942947,0.194929885561964,-0.6946169835836086,0.0070641924784417,-0.012818607835899623,0.509317527800424,0.04053101839545969,0.637326387896959,True
PG251932,Q13011,sp|Q13011|ECH1_HUMAN Delta(3;5)-Delta(2;4)-dienoyl-CoA isomerase; mitochondrial OS=Homo sapiens GN=ECH1 PE=1 SV=2,Q13011,-0.08715411649040809,0.364001641062073,0.005779930939376673,0.523683642371906,-0.2119281531167038,0.159213781835777,-0.2678919857377797,0.132887796342719,False
PG245687,P62280,sp|P62280|RS11_HUMAN 40S ribosomal protein S11 OS=Homo sapiens GN=RPS11 PE=1 SV=3,P62280,-0.14829021892826946,0.36826174165897,-0.487315480056221,0.0181559574358298,-0.04828042898605903,0.450410039082779,-0.08778358640219569,0.508642342529565,False
PG247689,P21796,sp|P21796|VDAC1_HUMAN Voltage-dependent anion-selective channel protein 1 OS=Homo sapiens GN=VDAC1 PE=1 SV=2,P21796,-0.08014540843197193,0.349977760010665,-0.20683758297969917,0.0365082752069174,0.3245641192051873,0.0683476478623033,-0.12292976501677441,0.388355900934204,False
PG254348,Q9Y2X3,sp|Q9Y2X3|NOP58_HUMAN Nucleolar protein 58 OS=Homo sapiens GN=NOP58 PE=1 SV=1,Q9Y2X3,0.010991751686953885,0.648221845760209,0.11303977998578002,0.186479772536753,0.031429381280612144,0.503507477984268,0.03175731881785045,0.665274724348608,False
PG252528,Q96I24,sp|Q96I24|FUBP3_HUMAN Far upstream element-binding protein 3 OS=Homo sapiens GN=FUBP3 PE=1 SV=2,Q96I24,0.018445395001820346,0.625779436870594,0.028840478697001005,0.41605282815328,-0.1471306233511205,0.178867125118857,-0.06462111240893809,0.461636020414453,False
PG247597,Q9HAV4,sp|Q9HAV4|XPO5_HUMAN Exportin-5 OS=Homo sapiens GN=XPO5 PE=1 SV=1,Q9HAV4,-0.0025275885441683973,0.673058794946724,0.16292476802159533,0.0578047420294309,-0.10231278158199573,0.216709844367639,-0.12551665861871755,0.290337429791567,False
PG252897,Q9HC38-2,sp|Q9HC38-2|GLOD4_HUMAN Isoform 2 of Glyoxalase domain-containing protein 4 OS=Homo sapiens GN=GLOD4,Q9HC38-2,0.008054682782629668,0.664097411258502,0.25851555223043493,0.04098039742096,0.003636664931742198,0.530324595142231,0.11892025958730414,0.363447420825286,False
PG245538,P23921,sp|P23921|RIR1_HUMAN Ribonucleoside-diphosphate reductase large subunit OS=Homo sapiens GN=RRM1 PE=1 SV=1,P23921,0.09400701581389975,0.320265185388951,0.3132422938221732,0.01230153385766,0.22479885810124967,0.103652548319288,0.06416151349521736,0.473246917558727,False
PG253529,Q32MZ4-3,sp|Q32MZ4-3|LRRF1_HUMAN Isoform 3 of Leucine-rich repeat flightless-interacting protein 1 OS=Homo sapiens GN=LRRFIP1,Q32MZ4-3,0.04782938639910156,0.534078924610783,0.22208596747413417,0.0484950074151189,0.06326478975284706,0.375933985221822,-0.05607700495065529,0.515720454243921,False
PG257566,A0A087WSV8|V9HW75,tr|V9HW75|V9HW75_HUMAN Epididymis secretory protein Li 109 OS=Homo sapiens GN=HEL-S-109 PE=1 SV=1,V9HW75,-0.00962175805054098,0.663319770538649,0.0965310941121115,0.211644741364902,0.044463638121914735,0.442207074119904,0.515435229219765,0.0910681892812883,False
PG267875,A0A087X0X3,tr|A0A087X0X3|A0A087X0X3_HUMAN Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens GN=HNRNPM PE=1 SV=1,A0A087X0X3,-0.048954746323321904,0.477873035191627,-0.25203784786945893,0.0103954733739753,-0.14603278717078233,0.17998229488432,-0.18644420508253068,0.310404696167688,False
PG252748,Q06210|Q06210-2,sp|Q06210|GFPT1_HUMAN Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 OS=Homo sapiens GN=GFPT1 PE=1 SV=3,Q06210,0.125053918515247,0.324147007130128,0.346449056328219,0.0125980737466283,-0.05081469378840696,0.369323338165605,0.07097873310538391,0.470697375116,False
PG245961,Q9UQ35,sp|Q9UQ35|SRRM2_HUMAN Serine/arginine repetitive matrix protein 2 OS=Homo sapiens GN=SRRM2 PE=1 SV=2,Q9UQ35,-0.04819192401818453,0.469327185065778,-0.01507638399275085,0.483379738343332,0.1365516742430105,0.22600578265181,0.04295176846219175,0.547385413307583,False
PG244831,P29350-2,sp|P29350-2|PTN6_HUMAN Isoform 3 of Tyrosine-protein phosphatase non-receptor type 6 OS=Homo sapiens GN=PTPN6,P29350-2,0.162404240256562,0.116492465871712,0.31687336659851123,0.0043633310991685,-0.05893075960553623,0.407600904847424,0.0016935700732007338,0.673421369252468,False
PG247359,Q99598,sp|Q99598|TSNAX_HUMAN Translin-associated protein X OS=Homo sapiens GN=TSNAX PE=1 SV=1,Q99598,0.07937330059023455,0.440815117878858,0.30732135237256414,0.0206774782973822,0.0943538825386397,0.290271029793048,0.47330695307382,0.0563934534293644,False
PG243281,Q14847,sp|Q14847|LASP1_HUMAN LIM and SH3 domain protein 1 OS=Homo sapiens GN=LASP1 PE=1 SV=2,Q14847,0.06485319753844586,0.42336217558357,0.18154793921032228,0.062084803769681,0.04818267465317241,0.425698018797634,0.06866866025796355,0.482410220753777,False
PG248463,P49189,sp|P49189|AL9A1_HUMAN 4-trimethylaminobutyraldehyde dehydrogenase OS=Homo sapiens GN=ALDH9A1 PE=1 SV=3,P49189,-0.013393790687860584,0.643214915432796,0.14659049146502573,0.0534837889837349,-0.007060587685418651,0.521561483237409,-0.09687946823762977,0.36627054533849,False
PG253138,O14929,sp|O14929|HAT1_HUMAN Histone acetyltransferase type B catalytic subunit OS=Homo sapiens GN=HAT1 PE=1 SV=1,O14929,0.07528806978249655,0.364001641062073,0.24327104747075967,0.0154415183449966,-0.13697900842035038,0.161162641628265,-0.05163588817306213,0.522550874395768,False
PG252021,P15170-2|P15170-3,sp|P15170-3|ERF3A_HUMAN Isoform 3 of Eukaryotic peptide chain release factor GTP-binding subunit ERF3A OS=Homo sapiens GN=GSPT1,P15170-3,-0.013444680114250623,0.638941775454648,0.011465990804145966,0.492863562171821,-0.06809917480636386,0.341890180328841,-0.09426982708752676,0.354421033017959,False
PG244919,P27635,sp|P27635|RL10_HUMAN 60S ribosomal protein L10 OS=Homo sapiens GN=RPL10 PE=1 SV=4,P27635,0.006094738977382782,0.663306205994393,0.1589949363204577,0.107750133344128,0.029372278354111832,0.458310091287425,0.103266704670937,0.384439449355494,False
PG243598,O14950|P19105|J3QRS3,tr|J3QRS3|J3QRS3_HUMAN Myosin regulatory light chain 12A OS=Homo sapiens GN=MYL12A PE=1 SV=1,J3QRS3,-0.3304983440941288,0.105324948713421,-0.4508061290697202,0.0032978414318609,-0.19055288248022875,0.168746970177867,-0.12281895588356581,0.320788407369698,False
PG253230,O75367|O75367-2|O75367-3,sp|O75367|H2AY_HUMAN Core histone macro-H2A.1 OS=Homo sapiens GN=H2AFY PE=1 SV=4,O75367,-0.06269443350010404,0.622242002178341,-0.10859556568815737,0.377669134216416,-0.02967412527816179,0.48904739044344,0.3366821514077453,0.393647535377176,False
PG246436,O75347,sp|O75347|TBCA_HUMAN Tubulin-specific chaperone A OS=Homo sapiens GN=TBCA PE=1 SV=3,O75347,-0.3329672481030364,0.0991419686023467,-1.0368854708456006,0.0033379665717355,-0.00446358800136248,0.525362820675114,-0.021474773065225983,0.637502421895634,True
PG251221,Q52LJ0-2,sp|Q52LJ0-2|FA98B_HUMAN Isoform 2 of Protein FAM98B OS=Homo sapiens GN=FAM98B,Q52LJ0-2,-0.17846973376829917,0.199366043621014,-0.584096195139166,0.0030523129124708,-0.26621819538341934,0.106267022948696,-0.13246316837403613,0.296942561932339,False
PG252249,P39748,sp|P39748|FEN1_HUMAN Flap endonuclease 1 OS=Homo sapiens GN=FEN1 PE=1 SV=1,P39748,-0.16849068422910957,0.354536725757022,-0.4138440785809991,0.0159116164017777,0.038389361259704484,0.465135375956587,0.09955776021444651,0.408686868759932,False
PG253257,Q99879,sp|Q99879|H2B1M_HUMAN Histone H2B type 1-M OS=Homo sapiens GN=HIST1H2BM PE=1 SV=3,Q99879,0.14164719278662008,0.265111738819903,-0.046220635896183554,0.404514036350501,0.04507318459979628,0.518308699454597,0.1423421258645281,0.558087931223083,False
PG250869,Q9BQ61,sp|Q9BQ61|CS043_HUMAN Uncharacterized protein C19orf43 OS=Homo sapiens GN=C19orf43 PE=1 SV=1,Q9BQ61,0.01325520828327078,0.62947175722084,0.20588787152386492,0.0165177401591054,0.6579453118454123,0.019532600513476,0.5247208768774505,0.0793042128075298,True
PG250055,P61604,sp|P61604|CH10_HUMAN 10 kDa heat shock protein; mitochondrial OS=Homo sapiens GN=HSPE1 PE=1 SV=2,P61604,-0.1366098270776436,0.253297042206002,-0.49440892224906674,0.0116668394959009,-0.22398426184284145,0.241346830608877,-0.24752778217780005,0.239756287897011,False
PG250811,Q8WYA6|A0A087WUB9,tr|A0A087WUB9|A0A087WUB9_HUMAN Beta-catenin-like protein 1 OS=Homo sapiens GN=CTNNBL1 PE=1 SV=1,A0A087WUB9,-0.028159376698564522,0.59674277750117,0.1085348959793496,0.134620856055991,0.043099095700591644,0.416438180795902,-0.04912016230097134,0.515047403075613,False
PG255031,Q9Y520|Q9Y520-4|Q9Y520-5|Q9Y520-6|Q9Y520-7|E7EPN9,sp|Q9Y520-7|PRC2C_HUMAN Isoform 7 of Protein PRRC2C OS=Homo sapiens GN=PRRC2C,Q9Y520-7,0.11266957763925728,0.222787659724923,0.32069137215014376,0.0087152231120188,0.10082238876409316,0.234341914572731,0.05690262037305356,0.508320997277463,False
PG250080,O00299,sp|O00299|CLIC1_HUMAN Chloride intracellular channel protein 1 OS=Homo sapiens GN=CLIC1 PE=1 SV=4,O00299,-0.14293354893587149,0.173986849842296,-0.4153131814646837,0.0053960989439231,-0.15089685992187074,0.145716903670944,-0.004643954274951313,0.66555708938261,False
PG250387,Q96KP4,sp|Q96KP4|CNDP2_HUMAN Cytosolic non-specific dipeptidase OS=Homo sapiens GN=CNDP2 PE=1 SV=2,Q96KP4,-0.067393642743518,0.353363777372549,-0.20092616831228544,0.0202375087633184,0.09228399221628089,0.248058343645637,0.1309483843072238,0.28316045227374,False
PG245659,P62249,sp|P62249|RS16_HUMAN 40S ribosomal protein S16 OS=Homo sapiens GN=RPS16 PE=1 SV=2,P62249,0.06685296618111941,0.620217816167645,-0.1795970226181012,0.0661201688115063,0.007319535289085181,0.520520420554696,0.12328361752894271,0.407697388558207,False
PG243572,P55081,sp|P55081|MFAP1_HUMAN Microfibrillar-associated protein 1 OS=Homo sapiens GN=MFAP1 PE=1 SV=2,P55081,-0.017219836157723042,0.620727448922155,0.06769707309595928,0.205916237880761,-0.044744786140696095,0.403766426225614,0.06063063977425461,0.516556669938681,False
PG247162,Q02880|Q02880-2,sp|Q02880|TOP2B_HUMAN DNA topoisomerase 2-beta OS=Homo sapiens GN=TOP2B PE=1 SV=3,Q02880,0.15151114849721378,0.434598323891883,0.4022540246432818,0.0533878669210932,0.04589112485130834,0.535501301135004,0.3431184745821075,0.394608501665999,False
PG242181,P51858,sp|P51858|HDGF_HUMAN Hepatoma-derived growth factor OS=Homo sapiens GN=HDGF PE=1 SV=1,P51858,0.06106979526626554,0.468003155101987,-0.02679656002463303,0.446956869864592,0.11890882172534342,0.308685156352808,0.2803333637188218,0.17588884537117,False
PG251834,Q92608,sp|Q92608|DOCK2_HUMAN Dedicator of cytokinesis protein 2 OS=Homo sapiens GN=DOCK2 PE=1 SV=2,Q92608,0.05654560151646979,0.403235828637781,0.3432466916200024,0.0047093174482361,-0.045079124795201965,0.390915010700202,-0.12306597064778728,0.318461814089047,False
PG247606,P38606|P38606-2,sp|P38606|VATA_HUMAN V-type proton ATPase catalytic subunit A OS=Homo sapiens GN=ATP6V1A PE=1 SV=2,P38606,-0.06958138793650262,0.324829487071671,-0.1887831534631358,0.0142730277134926,-0.01640142520203372,0.493592499659319,-0.0666775062661403,0.449823747482077,False
PG247429,Q9NYU2|Q9NYU2-2,sp|Q9NYU2|UGGG1_HUMAN UDP-glucose:glycoprotein glucosyltransferase 1 OS=Homo sapiens GN=UGGT1 PE=1 SV=3,Q9NYU2,0.1019414724954548,0.283011367073448,0.34240149073101506,0.0080749963975924,-0.08620896993370537,0.27143760524255,-0.14524958336497026,0.243815229486012,False
PG243521,P49257,sp|P49257|LMAN1_HUMAN Protein ERGIC-53 OS=Homo sapiens GN=LMAN1 PE=1 SV=2,P49257,-0.041575831372342185,0.603391081133285,0.1477192122072369,0.150568449430291,0.06970819171065962,0.333965608176797,-0.09436554881412706,0.368742154190585,False
PG251828,O00429-3,sp|O00429-3|DNM1L_HUMAN Isoform 2 of Dynamin-1-like protein OS=Homo sapiens GN=DNM1L,O00429-3,0.11377143280752099,0.246260495096904,0.3690720168529494,0.0044763714056033,-0.06323600694281892,0.346207730288936,0.017135546833570745,0.634751457029965,False
PG255654,P62979,sp|P62979|RS27A_HUMAN Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens GN=RPS27A PE=1 SV=2,P62979,0.08175127348844026,0.393691103237118,-0.14945303445111777,0.0389320361833109,0.3749665361631613,0.0743189411972227,0.557324583921514,0.0533907948709237,False
PG255374,Q5TBB1,sp|Q5TBB1|RNH2B_HUMAN Ribonuclease H2 subunit B OS=Homo sapiens GN=RNASEH2B PE=1 SV=1,Q5TBB1,0.05985349149977085,0.441704214199789,0.08830353086781136,0.174437337058979,0.06962214262240561,0.31302643776486,0.03253880831848482,0.576430537223378,False
PG254473,P39656|A0A0C4DGS1,sp|P39656|OST48_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Homo sapiens GN=DDOST PE=1 SV=4,P39656,-0.11540645831997126,0.47087228475156,-0.47212174149283825,0.0216091289201003,-0.06280520388811811,0.44553261014465,-0.14636223536116194,0.388114591083725,False
PG255230,P62333|A0A087X2I1,tr|A0A087X2I1|A0A087X2I1_HUMAN 26S protease regulatory subunit 10B OS=Homo sapiens GN=PSMC6 PE=1 SV=1,A0A087X2I1,-0.22472038167557287,0.105324948713421,-0.32740444072762176,0.002538732000585,-0.09328283055287606,0.263528160017871,-0.03219609365871671,0.585940391683764,False
PG246637,Q9Y2S6,sp|Q9Y2S6|TMA7_HUMAN Translation machinery-associated protein 7 OS=Homo sapiens GN=TMA7 PE=1 SV=1,Q9Y2S6,0.02161782006078865,0.62947175722084,-0.025723789320088387,0.494643261438995,,,,,False
PG252198,P55084,sp|P55084|ECHB_HUMAN Trifunctional enzyme subunit beta; mitochondrial OS=Homo sapiens GN=HADHB PE=1 SV=3,P55084,-0.16927805087920914,0.253297042206002,-0.2288534499663826,0.0316533831649546,-0.052368852916034145,0.358756719821846,-0.13748979398310793,0.29556082992638,False
PG253350,Q9NX58,sp|Q9NX58|LYAR_HUMAN Cell growth-regulating nucleolar protein OS=Homo sapiens GN=LYAR PE=1 SV=2,Q9NX58,0.046348289670297825,0.560956551346874,-0.05946523238817153,0.398124105315924,0.14478017719977632,0.255607029192353,0.1321837684602748,0.496530361876702,False
PG253027,P09211,sp|P09211|GSTP1_HUMAN Glutathione S-transferase P OS=Homo sapiens GN=GSTP1 PE=1 SV=2,P09211,0.021807914624692414,0.62637623499218,0.11265873224157352,0.108271001066736,0.013820600741634765,0.497827439100486,0.09388380629264183,0.549575927009047,False
PG243083,Q6PKG0,sp|Q6PKG0|LARP1_HUMAN La-related protein 1 OS=Homo sapiens GN=LARP1 PE=1 SV=2,Q6PKG0,0.1527635907185315,0.263871023911412,0.28169802875040845,0.0111899040385365,0.22757396629779167,0.0895822837281621,0.03202900458718814,0.579789089504932,False
PG251323,Q96C01|E7EQY1,tr|E7EQY1|E7EQY1_HUMAN Protein FAM136A OS=Homo sapiens GN=FAM136A PE=1 SV=1,E7EQY1,0.008724975335181413,0.659542878236812,0.1629296800648931,0.0851705615829785,-0.152124586176598,0.224740404665291,-0.1262673647104777,0.361408219922089,False
PG251920,Q13838|Q13838-2,sp|Q13838-2|DX39B_HUMAN Isoform 2 of Spliceosome RNA helicase DDX39B OS=Homo sapiens GN=DDX39B,Q13838-2,-0.08962386221806257,0.253297042206002,-0.06348717353743777,0.195219718066144,0.07436485291812524,0.308066396658485,0.10764272349576667,0.377181496325814,False
PG258297,B4DNK4,tr|B4DNK4|B4DNK4_HUMAN Pyruvate kinase OS=Homo sapiens GN=PKM PE=1 SV=1,B4DNK4,-0.16810067978939847,0.184564362760624,-0.7290798417156759,0.0017726989245037,0.16727709398473048,0.197655856315502,0.12353603659288429,0.281068778062732,True
PG251570,P35659,sp|P35659|DEK_HUMAN Protein DEK OS=Homo sapiens GN=DEK PE=1 SV=1,P35659,-0.0230618482436061,0.620527169288335,-0.018919892815285493,0.485980899856178,-0.03518070981079542,0.478698716046867,0.025955299006102266,0.669528614916066,False
PG244902,P06454|P06454-2|B8ZZQ6,sp|P06454|PTMA_HUMAN Prothymosin alpha OS=Homo sapiens GN=PTMA PE=1 SV=2,P06454,-0.06152032112889038,0.542919470026606,-0.14222671624139652,0.165218215417162,-0.18059559054346036,0.207109361131982,-0.10239193491570392,0.448716232327023,False
PG249524,P07384,sp|P07384|CAN1_HUMAN Calpain-1 catalytic subunit OS=Homo sapiens GN=CAPN1 PE=1 SV=1,P07384,0.08956015207073846,0.333942262975265,0.1864406793537502,0.0201773752278451,-0.12507086471344867,0.180171906086135,-0.050622407705898195,0.519830422883093,False
PG247191,Q9ULW0,sp|Q9ULW0|TPX2_HUMAN Targeting protein for Xklp2 OS=Homo sapiens GN=TPX2 PE=1 SV=2,Q9ULW0,0.16877027644206735,0.29063719056019,0.390458851029863,0.0191058422288649,0.3727771538935181,0.136115349055596,0.8698234955813704,0.0344291696761285,True
PG255862,P09661,sp|P09661|RU2A_HUMAN U2 small nuclear ribonucleoprotein A' OS=Homo sapiens GN=SNRPA1 PE=1 SV=2,P09661,0.028263635464816618,0.587525821732787,0.22756374667753893,0.0269344488791279,0.12377831760327371,0.193765968897841,0.04543451088882209,0.524257943850169,False
PG249644,P45973,sp|P45973|CBX5_HUMAN Chromobox protein homolog 5 OS=Homo sapiens GN=CBX5 PE=1 SV=1,P45973,-0.042460941884227096,0.506212950537142,-0.035501972455484435,0.376769959835047,-0.00020443958450601518,0.541582111846674,0.31773148925700967,0.0884123391833643,False
PG248022,P30153,sp|P30153|2AAA_HUMAN Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Homo sapiens GN=PPP2R1A PE=1 SV=4,P30153,-0.12886950857555407,0.231037412125991,-0.1602141982494818,0.090702117244216,-0.12734473719983067,0.189913881338039,-0.11318115595792674,0.343007960561559,False
PG247354,P61088,sp|P61088|UBE2N_HUMAN Ubiquitin-conjugating enzyme E2 N OS=Homo sapiens GN=UBE2N PE=1 SV=1,P61088,0.19040419735314576,0.123941559167076,0.1830425048840268,0.0356462847556895,0.29896836081228967,0.0920769645817044,0.21359053212491047,0.196129520929562,False
PG245609,P32969,sp|P32969|RL9_HUMAN 60S ribosomal protein L9 OS=Homo sapiens GN=RPL9 PE=1 SV=1,P32969,-0.038295588213351675,0.520432597553738,0.08843786649659224,0.154895916287236,-0.03781780917837091,0.449328949841188,0.03540744287376965,0.618561096748766,False
PG255264,Q15008,sp|Q15008|PSMD6_HUMAN 26S proteasome non-ATPase regulatory subunit 6 OS=Homo sapiens GN=PSMD6 PE=1 SV=1,Q15008,-0.0090761770662498,0.667588770412075,0.02647573851618155,0.448297694438231,-0.1510506991962082,0.15844516538875,-0.13643835338744786,0.286505983267599,False
PG255870,P07602|P07602-2|P07602-3|C9JIZ6,tr|C9JIZ6|C9JIZ6_HUMAN Prosaposin OS=Homo sapiens GN=PSAP PE=1 SV=2,C9JIZ6,-0.31768469490789636,0.28771994943742,-0.27540681162276665,0.011924669649656,-0.21048698447011735,0.131658856888777,0.007934715470472045,0.674882679399716,False
PG253982,Q9UKD2,sp|Q9UKD2|MRT4_HUMAN mRNA turnover protein 4 homolog OS=Homo sapiens GN=MRTO4 PE=1 SV=2,Q9UKD2,-0.014828409891558602,0.632691097140894,-0.07073129223818317,0.226504589106621,0.0014681491644354312,0.535501301135004,-0.039761824726455126,0.55378081152211,False
PG251212,P38117,sp|P38117|ETFB_HUMAN Electron transfer flavoprotein subunit beta OS=Homo sapiens GN=ETFB PE=1 SV=3,P38117,0.07393350776939975,0.38488818438724,0.14736375551557387,0.0471075562917481,-0.13953339476446863,0.161249094557016,0.031808022217799534,0.580207046261936,False
PG255767,P62308,sp|P62308|RUXG_HUMAN Small nuclear ribonucleoprotein G OS=Homo sapiens GN=SNRPG PE=1 SV=1,P62308,-0.14007044598519328,0.263871023911412,-0.45663274325815806,0.0068430173685529,-0.055396589657053893,0.407898450015538,0.002691471894797822,0.681630467894431,False
PG248090,Q9UG63|Q9UG63-2,sp|Q9UG63-2|ABCF2_HUMAN Isoform 2 of ATP-binding cassette sub-family F member 2 OS=Homo sapiens GN=ABCF2,Q9UG63-2,0.1027799916375492,0.282469030799477,0.2704733026158398,0.0130913359948743,0.09530390006101974,0.300185137998163,-0.01885992116674292,0.641857958111009,False
PG255642,P08579,sp|P08579|RU2B_HUMAN U2 small nuclear ribonucleoprotein B'' OS=Homo sapiens GN=SNRPB2 PE=1 SV=1,P08579,-0.02415241804093304,0.612319694260985,-0.3863184893055722,0.0222102487948783,-0.08785873095380992,0.368673832384882,0.01857289229427375,0.659629058441883,False
PG251694,Q9NVP1,sp|Q9NVP1|DDX18_HUMAN ATP-dependent RNA helicase DDX18 OS=Homo sapiens GN=DDX18 PE=1 SV=2,Q9NVP1,0.15765718937569465,0.192849606409399,0.2846283857129091,0.0117109770278384,0.033678591766693,0.523338630790517,-0.0656921151689757,0.575733952160154,False
PG255648,P62851,sp|P62851|RS25_HUMAN 40S ribosomal protein S25 OS=Homo sapiens GN=RPS25 PE=1 SV=1,P62851,-0.055150818179062616,0.514808033453288,-0.01098930941718977,0.517371294258319,0.30000129137748377,0.172152019325141,0.2786490041799726,0.122676613108784,False
PG251952,P31689,sp|P31689|DNJA1_HUMAN DnaJ homolog subfamily A member 1 OS=Homo sapiens GN=DNAJA1 PE=1 SV=2,P31689,-0.06556052300756902,0.402635746222632,-0.10501390020583923,0.0661201688115063,-0.14289189756295825,0.161249094557016,-0.18913613429228052,0.22793650768422,False
PG244924,P46778,sp|P46778|RL21_HUMAN 60S ribosomal protein L21 OS=Homo sapiens GN=RPL21 PE=1 SV=2,P46778,0.027197275818219926,0.573820909437742,0.06002768974661142,0.208365470196024,0.0033177403720387674,0.531049780450394,0.06625853522907978,0.464624522900927,False
PG256566,Q9Y285|K7ER00,tr|K7ER00|K7ER00_HUMAN Phenylalanine--tRNA ligase alpha subunit OS=Homo sapiens GN=FARSA PE=1 SV=1,K7ER00,0.04817293283609577,0.44155818691919,0.11906589923106653,0.083065472414806,-0.043767388836432886,0.399116294795281,-0.04213274546974707,0.535748924980729,False
PG244644,Q96C36,sp|Q96C36|P5CR2_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens GN=PYCR2 PE=1 SV=1,Q96C36,-0.04444611976233202,0.515026628879575,-0.47501604618287907,0.0059644554590442,-0.19392167131962437,0.108811830661897,-0.15451155724812304,0.327257523254937,False
PG254996,P53041|H0YDU8,sp|P53041|PPP5_HUMAN Serine/threonine-protein phosphatase 5 OS=Homo sapiens GN=PPP5C PE=1 SV=1,P53041,-0.1162886430264019,0.165745449001294,-0.30230922993123804,0.0035717667423363,0.01963297204009192,0.479744424475017,-0.009330470087016141,0.658697672912178,False
PG252814,P52306|P52306-5,sp|P52306-5|GDS1_HUMAN Isoform 5 of Rap1 GTPase-GDP dissociation stimulator 1 OS=Homo sapiens GN=RAP1GDS1,P52306-5,0.02159997251041271,0.625779436870594,0.30377333757771946,0.0185447920364527,-0.004366854946268889,0.526964108707629,-0.012533753593904623,0.652632539571357,False
PG243065,P17252,sp|P17252|KPCA_HUMAN Protein kinase C alpha type OS=Homo sapiens GN=PRKCA PE=1 SV=4,P17252,-0.0011095459449324766,0.684272557113139,0.08614296589686139,0.145738738691865,-0.16112731908728317,0.134397282921174,-0.1099473554611793,0.310062274134075,False
PG253233,Q13442,sp|Q13442|HAP28_HUMAN 28 kDa heat- and acid-stable phosphoprotein OS=Homo sapiens GN=PDAP1 PE=1 SV=1,Q13442,-0.008141870669809655,0.662156603608778,0.04919081572621314,0.352592657054297,0.30358479565604823,0.0604003055592619,0.07817321967096358,0.398022208503164,False
PG254159,Q92621,sp|Q92621|NU205_HUMAN Nuclear pore complex protein Nup205 OS=Homo sapiens GN=NUP205 PE=1 SV=3,Q92621,0.21689002588504272,0.101605587954949,0.39724732189684037,0.0044763714056033,-0.08524019165262689,0.255607029192353,-0.11342531615888346,0.297557854293813,False
PG260595,H0Y9Y4,tr|H0Y9Y4|H0Y9Y4_HUMAN 40S ribosomal protein S3a (Fragment) OS=Homo sapiens GN=RPS3A PE=1 SV=1,H0Y9Y4,-0.06622858143891869,0.424674241892791,-0.47751644183888875,0.0119850362368109,-0.03420268285328777,0.456047279583821,-0.007631356420996813,0.660350898192061,False
PG248637,P63010|P63010-2,sp|P63010-2|AP2B1_HUMAN Isoform 2 of AP-2 complex subunit beta OS=Homo sapiens GN=AP2B1,P63010-2,0.07107531238070391,0.371094733473842,0.13828798396933956,0.0723386504244428,-0.09617079258823016,0.251538733752332,-0.1161580538544001,0.350681813854757,False
